scenario_id,scenario_type,parent_scenario_id,design_note,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,asymmetric_dimensions
S079,sobol_symmetric,,scrambled_sobol,0.8,0.3,64,51.2,15.36,35.839999999999996,21,21,0.1,0.1,6,6,0.0,0.0,0.5,0.5,4,4,0.0,0.0,0.3,0.3,
S080,sobol_symmetric,,scrambled_sobol,3.1,0.7,32,99.2,69.44,29.760000000000005,7,7,0.5,0.5,4,4,0.7,0.7,0.7,0.7,4,4,0.5,0.5,0.7,0.7,
S081,sobol_symmetric,,scrambled_sobol,3.1,0.3,64,198.4,59.519999999999996,138.88,28,28,0.0,0.0,4,4,0.3,0.3,0.3,0.3,4,4,0.7,0.7,0.7,0.7,
S082,sobol_symmetric,,scrambled_sobol,0.8,0.7,16,12.8,8.959999999999999,3.8400000000000007,14,14,0.3,0.3,12,12,0.1,0.1,0.3,0.3,9,9,0.0,0.0,0.7,0.7,
S083,sobol_symmetric,,scrambled_sobol,2.0,0.1,32,64.0,6.4,57.6,21,21,0.5,0.5,9,9,0.5,0.5,0.7,0.7,12,12,0.0,0.0,0.1,0.1,
S084,sobol_symmetric,,scrambled_sobol,4.0,0.7,32,128.0,89.6,38.400000000000006,7,7,0.1,0.1,4,4,0.0,0.0,0.3,0.3,4,4,0.3,0.3,0.7,0.7,
S085,sobol_symmetric,,scrambled_sobol,4.0,0.1,16,64.0,6.4,57.6,7,7,0.1,0.1,4,4,0.3,0.3,0.7,0.7,4,4,0.0,0.0,0.1,0.1,
S086,sobol_symmetric,,scrambled_sobol,1.25,0.9,64,80.0,72.0,7.999999999999998,21,21,0.5,0.5,12,12,0.0,0.0,0.0,0.0,6,6,0.3,0.3,0.3,0.3,
S087,sobol_symmetric,,scrambled_sobol,0.8,0.5,32,25.6,12.8,12.8,14,14,0.3,0.3,9,9,0.1,0.1,0.7,0.7,4,4,0.5,0.5,0.7,0.7,
S088,sobol_symmetric,,scrambled_sobol,2.0,0.5,64,128.0,64.0,64.0,28,28,0.0,0.0,6,6,0.0,0.0,0.7,0.7,9,9,0.0,0.0,0.5,0.5,
S089,sobol_symmetric,,scrambled_sobol,2.0,0.1,16,32.0,3.2,28.8,21,21,0.3,0.3,6,6,0.5,0.5,0.5,0.5,12,12,0.0,0.0,0.0,0.0,
S090,sobol_symmetric,,scrambled_sobol,0.8,0.9,32,25.6,23.040000000000003,2.5599999999999996,7,7,0.0,0.0,4,4,0.0,0.0,0.1,0.1,4,4,0.3,0.3,0.5,0.5,
S091,sobol_symmetric,,scrambled_sobol,1.25,0.3,16,20.0,6.0,14.0,28,28,0.1,0.1,12,12,0.1,0.1,0.7,0.7,4,4,0.5,0.5,0.5,0.5,
S092,sobol_symmetric,,scrambled_sobol,3.1,0.7,64,198.4,138.88,59.52000000000001,14,14,0.5,0.5,4,4,0.1,0.1,0.1,0.1,9,9,0.0,0.0,0.5,0.5,
S093,sobol_symmetric,,scrambled_sobol,4.0,0.3,32,128.0,38.4,89.6,14,14,0.5,0.5,6,6,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.7,0.7,
S094,sobol_symmetric,,scrambled_sobol,2.0,0.5,32,64.0,32.0,32.0,28,28,0.1,0.1,9,9,0.1,0.1,0.5,0.5,9,9,0.0,0.0,0.7,0.7,
S095,sobol_symmetric,,scrambled_sobol,1.25,0.1,64,80.0,8.0,72.0,7,7,0.0,0.0,4,4,0.7,0.7,0.7,0.7,4,4,0.0,0.0,0.3,0.3,
S096,sobol_symmetric,,scrambled_sobol,3.1,0.9,16,49.6,44.64,4.959999999999999,21,21,0.3,0.3,4,4,0.0,0.0,0.3,0.3,6,6,0.3,0.3,0.7,0.7,
S097,sobol_symmetric,,scrambled_sobol,3.1,0.5,32,99.2,49.6,49.6,28,28,0.1,0.1,4,4,0.5,0.5,0.7,0.7,6,6,0.3,0.3,0.3,0.3,
