horizon_days,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
14,16,0.9378082191780802,0.7986553842587226,6890,8523.0,10.36866028708134,10.375973950459356,0.02779392952668915,8627,8360,8599,239,28,1008,462,0,0.8792799843474858,0.6814562002275313,0.1978237841199545
14,17,0.9369863013698604,0.7769274057400113,6903,8514.0,10.891726491702954,10.884958791208792,0.027358058608058608,8885,8497,8736,239,149,1129,465,0,0.8676072671047546,0.6504985179196981,0.2171087491850564
14,18,0.9328767123287645,0.7802858439201452,6879,8495.0,10.705688375927453,10.704965026946452,0.026373122348354545,8816,8491,8721,230,95,1110,502,0,0.8590874233128835,0.6661111111111111,0.19297631220177236
14,19,0.935616438356162,0.7859486367236113,6947,8499.0,10.747184420459877,10.745080195654646,0.03037197133431919,8839,8524,8791,267,48,1100,477,0,0.8722492697176242,0.6663066954643628,0.20594257425326135
14,20,0.9343835616438335,0.7824517875267847,6938,8463.0,10.333725582489997,10.338250428816467,0.02824471126357919,8867,8498,8745,247,122,1076,484,0,0.8713900654601463,0.6566839096106725,0.21470615584947383
14,21,0.9339726027397243,0.8032977241058987,6918,8500.0,9.85171466124985,9.849744542498838,0.028216442173711102,8612,8369,8612,243,0,962,489,0,0.8860784704242183,0.6875522138680034,0.19852625655621492
14,22,0.9358904109589016,0.7841449603624009,6924,8507.0,10.704844778927564,10.70582846673537,0.026222374899805338,8830,8504,8733,229,97,1104,476,0,0.8677248677248677,0.6697075395760665,0.19801732814880113
14,23,0.9379452054794484,0.7833220185562344,6923,8532.0,11.023598820058996,11.021051420683309,0.02507764868284827,8838,8475,8693,218,145,1100,452,0,0.86415963161934,0.6671263099834528,0.19703332163588716
14,24,0.9347945205479427,0.7997443049744305,6881,8497.0,10.247966507177033,10.24907019990702,0.028358902835890282,8604,8360,8604,244,0,999,480,0,0.8874172185430463,0.6790941728804197,0.2083230456626266
14,25,0.9349315068493127,0.7894073139974779,6886,8496.0,10.527626274602799,10.525843213997929,0.029123978358466675,8723,8434,8687,253,36,1067,481,0,0.8757569837858957,0.6667591564927858,0.2089978272931099
14,26,0.9324657534246555,0.786495103621043,6907,8484.0,10.28977609287999,10.291361136571952,0.032882676443629695,8782,8441,8728,287,54,1030,504,0,0.8678005411673754,0.66990022172949,0.19790031943788533
14,27,0.9365753424657515,0.7806030603060305,6938,8535.0,10.453519802561994,10.457266910420476,0.02776508226691042,8888,8509,8752,243,136,1101,470,0,0.8643108160874658,0.6667551779075943,0.19755563817987154
14,28,0.9373972602739702,0.7950352994762013,6982,8535.0,10.259013282732449,10.260864553314121,0.028011527377521613,8782,8432,8675,243,107,998,452,0,0.8769020678891923,0.6802516411378556,0.1966504267513367
14,29,0.9313698630136961,0.7862029646522235,6895,8464.0,10.380364491475603,10.387783115991764,0.027110501029512696,8770,8505,8742,237,28,1101,509,0,0.8745583038869258,0.6637649619151251,0.21079334197180066
14,30,0.936575342465751,0.793210586881473,6893,8515.0,10.630385756676558,10.633083573487031,0.02881844380403458,8690,8425,8675,250,15,1061,471,0,0.8740886699507389,0.6796680497925311,0.1944206201582077
21,1,0.9380821917808199,0.786024702653248,6873,8512.0,10.985064095025285,10.986505032021958,0.027561756633119855,8744,8503,8744,241,0,1161,469,0,0.8758442590385379,0.6641509433962264,0.21169331564231153
21,2,0.9379452054794499,0.795016077170418,6923,8524.0,10.742440412664532,10.750114836931557,0.03158015617822692,8708,8433,8708,275,0,1047,463,0,0.883054892601432,0.6747282608695652,0.20832663173186683
21,3,0.9342465753424628,0.7952836637047164,6981,8494.0,10.206197714151054,10.230690362269309,0.03315105946684894,8778,8487,8778,291,0,1011,495,0,0.8903465831212062,0.6630345954780714,0.22731198764313476
21,4,0.9367123287671212,0.791058394160584,6936,8531.0,10.933238636363637,10.95529197080292,0.0364963503649635,8768,8448,8768,320,0,1040,472,0,0.8781003653143626,0.664143537987104,0.21395682732725863
21,5,0.9320547945205456,0.7969018932874354,6945,8479.0,9.94306049822064,9.944922547332187,0.03270223752151463,8715,8430,8715,285,0,985,500,0,0.8755980861244019,0.6901865369018654,0.18541154922253655
21,6,0.9382191780821892,0.7887100430741328,6958,8530.0,11.019284712482468,11.03094536386307,0.030151892994785764,8822,8556,8822,266,0,1132,466,0,0.8722415795586528,0.6706783369803063,0.20156324257834646
21,7,0.9373972602739693,0.7795355099293168,6948,8528.0,11.88204410220511,11.922248401211712,0.038370918882531135,8913,8571,8913,342,0,1160,463,0,0.8692160611854685,0.6521857181645397,0.21703034302092872
21,8,0.9369863013698602,0.7953391785879096,6894,8521.0,10.949655663737829,10.958237194277803,0.028380249192431935,8668,8422,8668,246,0,1062,466,0,0.8821568627450981,0.6712443946188341,0.21091246812626396
21,9,0.9319178082191756,0.7825887743413517,6832,8503.0,11.238157117542823,11.259450171821307,0.030355097365406643,8730,8465,8730,265,0,1132,501,0,0.8736066878980892,0.6592012951969779,0.21440539270111125
21,10,0.938630136986298,0.7840524056923425,6942,8532.0,11.452032329858264,11.483849107747911,0.03580302688050599,8854,8537,8854,317,0,1142,453,0,0.8793969849246231,0.65,0.22939698492462313
21,11,0.9347945205479421,0.7848777714610574,6903,8487.0,11.284157487696273,11.284820920977829,0.02967595224559409,8795,8534,8795,261,0,1149,482,0,0.8708357685563998,0.664391043145822,0.2064447254105778
21,12,0.9346575342465726,0.7802321649949284,6923,8492.0,11.395466290815127,11.434689507494646,0.040459821931702916,8873,8514,8873,359,0,1113,478,0,0.8767598842815815,0.6445227765726681,0.23223710770891337
