class1_cancel_prob,class_id,mean,std,n,se,ci95,metric
0.2,2,18230.33,142.62829100125694,100,14.262829100125694,27.95514503624636,arrivals
0.25,1,18265.85,152.559137399371,100,15.2559137399371,29.901590930276715,arrivals
0.25,2,18275.27,134.3816256529561,100,13.43816256529561,26.338798627979394,arrivals
0.3,1,18247.85,121.92864074672286,100,12.192864074672286,23.89801358635768,arrivals
0.3,2,18238.98,145.25338223430506,100,14.525338223430506,28.46966291792379,arrivals
0.0,1,8527.95,53.9087097777245,100,5.39087097777245,10.566107116434003,booked
0.0,2,8512.95,101.54328081556109,100,10.154328081556109,19.902483039849972,booked
0.05,1,10772.12,80.18215121669765,100,8.018215121669765,15.71570163847274,booked
0.05,2,10756.68,107.33191039899974,100,10.733191039899975,21.03705443820395,booked
0.1,1,11772.05,97.7623768288819,100,9.77623768288819,19.161425858460852,booked
0.1,2,11757.19,103.22542704139681,100,10.322542704139682,20.232183700113776,booked
0.15,1,12475.12,89.95860776552225,100,8.995860776552224,17.631887122042357,booked
0.15,2,12483.72,85.64008312924403,100,8.564008312924404,16.78545629333183,booked
0.2,1,13265.87,115.95807802212768,100,11.595807802212768,22.727783292337026,booked
0.2,2,13278.18,84.95041691088556,100,8.495041691088556,16.65028171453357,booked
0.25,1,14004.86,128.6621933591992,100,12.866219335919919,25.21778989840304,booked
0.25,2,14009.41,92.75982836107313,100,9.275982836107314,18.180926358770336,booked
0.3,1,14651.29,122.08097122546783,100,12.208097122546784,23.927870360191697,booked
0.3,2,14636.4,88.92920802753206,100,8.892920802753206,17.430124773396283,booked
0.0,1,6678.06,97.61228395954042,100,9.761228395954042,19.132007656069923,balked
0.0,2,6659.17,107.23956519603364,100,10.723956519603364,21.018954778422593,balked
0.05,1,6999.13,86.97516828951763,100,8.697516828951763,17.047132984745453,balked
0.05,2,6998.04,104.7149010649893,100,10.47149010649893,20.524120608737903,balked
0.1,1,6503.14,91.14856559541137,100,9.114856559541137,17.865118856700626,balked
0.1,2,6489.18,87.50265565955546,100,8.750265565955546,17.15052050927287,balked
0.15,1,5772.56,103.48506162629455,100,10.348506162629455,20.283072078753733,balked
0.15,2,5766.0,94.0422213366922,100,9.404222133669219,18.43227538199167,balked
0.2,1,4959.78,107.44654108866975,100,10.744654108866975,21.05952205337927,balked
0.2,2,4952.15,115.67757131376212,100,11.567757131376212,22.672803977497374,balked
0.25,1,4260.99,108.36782621043845,100,10.836782621043845,21.240093937245938,balked
0.25,2,4265.86,100.36509313098803,100,10.036509313098803,19.671558253673652,balked
