policy,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay,no_offer_rate,booked_rate
Strict C1 reservation,5115,2,8987,8987,0,8987,0,3224,430,5333,5.364081450984756,5.364081450984756,0.5934127072437966,0.45659246575342466,0.0,48207.0,48207.0,0.0,1.0
Strict C1 reservation,5116,1,9010,9010,0,9010,0,3195,598,5217,5.49134295227525,5.49134295227525,0.579023307436182,0.44666095890410956,0.0,49477.0,49477.0,0.0,1.0
Strict C1 reservation,5116,2,9268,9268,0,9268,0,3414,622,5232,5.632498921018558,5.632498921018558,0.5645230902028485,0.44794520547945205,0.0,52202.0,52202.0,0.0,1.0
Strict C1 reservation,5117,1,9149,9149,0,9149,0,3298,578,5273,5.460815389660072,5.460815389660072,0.5763471417641273,0.4514554794520548,0.0,49961.0,49961.0,0.0,1.0
Strict C1 reservation,5117,2,9189,9189,0,9189,0,3379,669,5141,5.637066057242355,5.637066057242355,0.5594732832734791,0.4401541095890411,0.0,51799.0,51799.0,0.0,1.0
Strict C1 reservation,5118,1,9275,9275,0,9275,0,3356,624,5295,5.469433962264151,5.469433962264151,0.57088948787062,0.4533390410958904,0.0,50729.0,50729.0,0.0,1.0
Strict C1 reservation,5118,2,9189,9189,0,9189,0,3434,619,5136,5.581891391881598,5.581891391881598,0.5589291544237676,0.4397260273972603,0.0,51292.0,51292.0,0.0,1.0
Strict C1 reservation,5119,1,9144,9144,0,9144,0,3277,558,5309,5.439085739282589,5.439085739282589,0.5805993000874891,0.4545376712328767,0.0,49735.0,49735.0,0.0,1.0
Strict C1 reservation,5119,2,9285,9285,0,9285,0,3460,566,5259,5.601400107700592,5.601400107700592,0.5663974151857836,0.4502568493150685,0.0,52009.0,52009.0,0.0,1.0
Strict C1 reservation,5120,1,9172,9172,0,9172,0,3223,562,5387,5.406781508940253,5.406781508940253,0.5873310074138683,0.46121575342465754,0.0,49591.0,49591.0,0.0,1.0
Strict C1 reservation,5120,2,9111,9111,0,9111,0,3383,567,5161,5.547470091098672,5.547470091098672,0.5664581275381407,0.4418664383561644,0.0,50543.0,50543.0,0.0,1.0
Strict C1 reservation,5121,1,9051,9051,0,9051,0,3145,434,5472,5.29665230361286,5.29665230361286,0.6045740802121312,0.4684931506849315,0.0,47940.0,47940.0,0.0,1.0
Strict C1 reservation,5121,2,9131,9131,0,9131,0,3357,468,5306,5.396123097141605,5.396123097141605,0.5810973606395795,0.4542808219178082,0.0,49272.0,49272.0,0.0,1.0
