config,label,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
+cancel,+Cancellation gap,29,0.9191780821917795,0.7754986400725294,6843,8364.0,10.541822867853796,10.544537624660018,0.032638259292837715,8824,8536,8824,288,0,1085,608,0,0.8150632426216942,0.7182473655019412,0.09681587711975292
+cancel,+Cancellation gap,30,0.9243835616438334,0.7803791685701233,6833,8392.0,11.054836432101672,11.058931018730014,0.029465509365006852,8756,8498,8756,258,0,1112,553,0,0.8095331502550019,0.7397484964461455,0.06978465380885646
+balk,+Balking gap,1,0.916164383561641,0.7619419642857143,6827,8341.0,10.924056494558926,10.951227678571428,0.0359375,8960,8638,8960,322,0,1202,609,0,0.7716912468875694,0.7483284300615137,0.023362816826055677
+balk,+Balking gap,2,0.91821917808219,0.7752603272685662,6775,8363.0,10.688213823148475,10.690696876072778,0.02814967387572949,8739,8493,8739,246,0,1114,604,0,0.7898946547015216,0.754497647384445,0.03539700731707662
+balk,+Balking gap,3,0.9230136986301339,0.7761515770365328,6841,8383.0,10.461691193646343,10.46029044701611,0.02859087814840027,8814,8562,8814,252,0,1163,558,0,0.7823691460055097,0.7676848874598071,0.014684258545702544
+balk,+Balking gap,4,0.9180821917808198,0.7780336173152199,6758,8347.0,10.328786620804175,10.333640340778263,0.029357586921482846,8686,8431,8686,255,0,1061,612,0,0.7835775948604697,0.7705802968960864,0.012997297964383314
+balk,+Balking gap,5,0.9194520547945186,0.790462930734424,6813,8371.0,8.947267955141971,8.941756584290522,0.027497389488339713,8619,8382,8619,237,0,975,594,0,0.7936378466557912,0.786271870794078,0.00736597586171317
+balk,+Balking gap,6,0.9210958904109572,0.7590847913862718,6768,8378.0,11.610738255033556,11.61731718259309,0.030731269627635713,8916,8642,8916,274,0,1287,587,0,0.7724562415849202,0.7403820285176217,0.03207421306729852
+balk,+Balking gap,7,0.9284931506849287,0.7768473463845197,6865,8428.0,11.057903338781228,11.066538418015163,0.030666515785900194,8837,8566,8837,271,0,1172,529,0,0.7819200309059301,0.769672131147541,0.012247899758389136
+balk,+Balking gap,8,0.9202739726027375,0.773507674815236,6803,8362.0,11.014084507042254,11.017055144968733,0.03126776577600909,8795,8520,8795,275,0,1131,586,0,0.7856312935708752,0.7562654916001101,0.029365801970765104
+balk,+Balking gap,9,0.9223287671232852,0.7824927536231884,6749,8405.0,9.818517196239439,9.82249275362319,0.025739130434782608,8625,8403,8625,222,0,1084,570,0,0.7889022919179735,0.7737606135305396,0.015141678387433855
+balk,+Balking gap,10,0.9223287671232856,0.7671927846674182,6805,8401.0,11.25098814229249,11.24802705749718,0.030214205186020294,8870,8602,8870,268,0,1228,569,0,0.7748917748917749,0.7568637803590285,0.018027994532746394
+balk,+Balking gap,11,0.9247945205479429,0.7829972502291476,6834,8392.0,10.183639792550684,10.190879926672777,0.027956003666361137,8728,8484,8728,244,0,1096,554,0,0.7867690490253987,0.7777473280350781,0.009021720990320614
+balk,+Balking gap,12,0.9191780821917784,0.7716677981443766,6820,8342.0,10.618448637316561,10.621294410500113,0.028513238289205704,8838,8586,8838,252,0,1162,604,0,0.779618082618862,0.7606583917970858,0.018959690821776176
+balk,+Balking gap,13,0.9213698630136966,0.7835099032703823,6804,8400.0,9.499821619693186,9.500345462920313,0.03166743436204514,8684,8409,8684,275,0,1028,577,0,0.7907389162561577,0.7733444167359379,0.017394499520219764
+balk,+Balking gap,14,0.921369863013696,0.7766236730966785,6804,8385.0,10.446508347049141,10.458509302591029,0.0291062664079443,8761,8506,8761,255,0,1117,585,0,0.7877534947824375,0.7612710483432917,0.026482446439145768
+balk,+Balking gap,15,0.916027397260272,0.7601571268237934,6773,8343.0,11.363940863940863,11.37631874298541,0.028282828282828285,8910,8658,8910,252,0,1268,617,0,0.7754789272030651,0.7384823848238482,0.0369965423792169
+balk,+Balking gap,16,0.9189041095890397,0.7758421781264421,6725,8357.0,10.530957736474488,10.524688509460082,0.02549607752653438,8668,8447,8668,221,0,1132,590,0,0.7818110080883803,0.7674353987218672,0.014375609366513165
+balk,+Balking gap,17,0.9171232876712313,0.7783013446730261,6772,8347.0,9.740556542332742,9.748419721871048,0.029421905528100218,8701,8445,8701,256,0,1062,611,0,0.788442893154935,0.7635440180586908,0.024898875096244222
