policy,seed,Q,rho_1,rho_2,tau_1,tau_2,offered_1,offered_2,total_offered_delay_1,total_offered_delay_2,served_rate_1,served_rate_2,arrivals_1,arrivals_2,served_1,served_2,overall_served_rate,min_served_rate,served_rate_flag,w1,w2,weight_set,weighted_utilization,weighted_offered_wait,fcfs_weighted_utilization,fcfs_weighted_offered_wait,fcfs_served_rate_1,fcfs_served_rate_2,fcfs_overall_served_rate,delta_weighted_utilization,delta_weighted_offered_wait
Strict C1 reservation,5105,32,0.7791952054794521,0.0,0.005603779804417097,,9101.0,0.0,51.0,0.0,1.0,0.0,9101.0,9105.0,9101.0,0.0,0.49989014610567944,0.0,True,1.5,1.0,"w1=1.5, w2=1",1.168792808219178,0.005603779804417097,1.252140410958904,5.39421955138788,0.5953814162197658,0.5888555888555889,0.5921415187920203,-0.08334760273972597,-5.388615771583463
Strict C1 reservation,5101,0,0.5060787671232877,0.4952054794520548,5.361535106846925,5.3316755083996465,9172.0,9048.0,49176.0,48241.0,0.5931094635848234,0.5908488063660478,9172.0,9048.0,5440.0,5346.0,0.59198682766191,0.5908488063660478,False,2.0,1.0,"w1=2, w2=1",1.5073630136986302,5.351672021028038,1.5073630136986302,5.351672021028038,0.5931094635848234,0.5908488063660478,0.59198682766191,0.0,0.0
Strict C1 reservation,5101,4,0.5069349315068493,0.49434931506849317,5.347361535106847,5.346043324491601,9172.0,9048.0,49046.0,48371.0,0.5944177932839075,0.5895225464190982,9172.0,9048.0,5452.0,5334.0,0.59198682766191,0.5895225464190982,False,2.0,1.0,"w1=2, w2=1",1.5082191780821919,5.346926109813084,1.5073630136986302,5.351672021028038,0.5931094635848234,0.5908488063660478,0.59198682766191,0.0008561643835616195,-0.004745911214953935
Strict C1 reservation,5101,8,0.508304794520548,0.49297945205479454,5.311382468382032,5.38262599469496,9172.0,9048.0,48716.0,48702.0,0.5964893153074575,0.587422634836428,9172.0,9048.0,5471.0,5315.0,0.59198682766191,0.587422634836428,False,2.0,1.0,"w1=2, w2=1",1.5095890410958905,5.334915303738318,1.5073630136986302,5.351672021028038,0.5931094635848234,0.5908488063660478,0.59198682766191,0.0022260273972602995,-0.016756717289720058
Strict C1 reservation,5101,12,0.5142123287671233,0.4870719178082192,5.239969472307021,5.4552387267904505,9172.0,9048.0,48061.0,49359.0,0.6049934583515045,0.5785809018567639,9172.0,9048.0,5549.0,5235.0,0.5918770581778265,0.5785809018567639,False,2.0,1.0,"w1=2, w2=1",1.5154965753424658,5.311076226635514,1.5073630136986302,5.351672021028038,0.5931094635848234,0.5908488063660478,0.59198682766191,0.008133561643835607,-0.04059579439252392
Strict C1 reservation,5101,16,0.5405821917808219,0.46113013698630134,4.647550908090259,6.089283743516169,9085.0,9061.0,42223.0,55175.0,0.6834342322509631,0.5003862708310342,9085.0,9061.0,6209.0,4534.0,0.5920313016642786,0.5003862708310342,False,2.0,1.0,"w1=2, w2=1",1.5422945205479452,5.127281407219713,1.5073630136986302,5.351672021028038,0.5931094635848234,0.5908488063660478,0.59198682766191,0.03493150684931501,-0.2243906138083247
Strict C1 reservation,5101,20,0.6357876712328767,0.363527397260274,3.1084520831067115,7.576876712328767,9193.0,9125.0,28576.0,69139.0,0.8077885347547047,0.3873972602739726,9193.0,9125.0,7426.0,3535.0,0.5983731848455072,0.3873972602739726,True,2.0,1.0,"w1=2, w2=1",1.6351027397260274,4.590563774490204,1.5073630136986302,5.351672021028038,0.5931094635848234,0.5908488063660478,0.59198682766191,0.12773972602739714,-0.7611082465378338
Strict C1 reservation,5101,24,0.7462328767123287,0.2488013698630137,1.1711881297752187,9.376763217400667,9031.0,9287.0,10577.0,87082.0,0.9651201417340273,0.2609958060006452,9031.0,9299.0,8716.0,2427.0,0.607910529187125,0.2609958060006452,True,2.0,1.0,"w1=2, w2=1",1.7412671232876713,3.9575852864821384,1.5073630136986302,5.351672021028038,0.5931094635848234,0.5908488063660478,0.59198682766191,0.23390410958904106,-1.3940867345458994
Strict C1 reservation,5101,28,0.781763698630137,0.12551369863013698,0.06538166684919505,10.560570535365377,9131.0,5118.0,597.0,54049.0,1.0,0.13287867121328786,9131.0,9091.0,9131.0,1208.0,0.5673910657447042,0.13287867121328786,True,2.0,1.0,"w1=2, w2=1",1.689041095890411,2.362831479897348,1.5073630136986302,5.351672021028038,0.5931094635848234,0.5908488063660478,0.59198682766191,0.18167808219178072,-2.9888405411306898
Strict C1 reservation,5101,32,0.7746575342465754,0.0,0.007957559681697613,,9048.0,0.0,72.0,0.0,1.0,0.0,9048.0,9030.0,9048.0,0.0,0.5004978426817126,0.0,True,2.0,1.0,"w1=2, w2=1",1.5493150684931507,0.007957559681697613,1.5073630136986302,5.351672021028038,0.5931094635848234,0.5908488063660478,0.59198682766191,0.041952054794520466,-5.34371446134634
Strict C1 reservation,5102,0,0.5008561643835616,0.49888698630136985,5.491321908088636,5.488626325088339,9161.0,9056.0,50306.0,49705.0,0.5761379762034713,0.5760821554770318,9161.0,9056.0,5278.0,5217.0,0.5761102267113136,0.5760821554770318,False,2.0,1.0,"w1=2, w2=1",1.500599315068493,5.490430272481555,1.500599315068493,5.490430272481555,0.5761379762034713,0.5760821554770318,0.5761102267113136,0.0,0.0
Strict C1 reservation,5102,4,0.5007705479452055,0.49897260273972605,5.474620674598843,5.505521201413427,9161.0,9056.0,50153.0,49858.0,0.5760288178146491,0.5761925795053003,9161.0,9056.0,5277.0,5218.0,0.5761102267113136,0.5760288178146491,False,2.0,1.0,"w1=2, w2=1",1.500513698630137,5.484841843816203,1.500599315068493,5.490430272481555,0.5761379762034713,0.5760821554770318,0.5761102267113136,-8.561643835602872e-05,-0.005588428665351586
Strict C1 reservation,5102,8,0.5019691780821918,0.4977739726027397,5.442528108285122,5.537985865724382,9161.0,9056.0,49859.0,50152.0,0.5781028272022705,0.5740945229681979,9161.0,9056.0,5296.0,5199.0,0.5761102267113136,0.5740945229681979,False,2.0,1.0,"w1=2, w2=1",1.5017123287671232,5.474103294616115,1.500599315068493,5.490430272481555,0.5761379762034713,0.5760821554770318,0.5761102267113136,0.0011130136986301498,-0.016326977865439574
Strict C1 reservation,5102,12,0.5060787671232877,0.4936643835616438,5.36786377033075,5.613626325088339,9161.0,9056.0,49175.0,50837.0,0.5849798056980678,0.5673586572438163,9161.0,9056.0,5359.0,5138.0,0.5762200142723829,0.5673586572438163,False,2.0,1.0,"w1=2, w2=1",1.5058219178082193,5.449156256848565,1.500599315068493,5.490430272481555,0.5761379762034713,0.5760821554770318,0.5761102267113136,0.00522260273972619,-0.0412740156329896
Strict C1 reservation,5102,16,0.539554794520548,0.4594178082191781,4.987412587412587,6.398267923700943,9295.0,9122.0,46358.0,58365.0,0.6478752017213556,0.49364174523130894,9295.0,9122.0,6022.0,4503.0,0.5714828690883423,0.49364174523130894,True,2.0,1.0,"w1=2, w2=1",1.5385273972602742,5.451825923787529,1.500599315068493,5.490430272481555,0.5761379762034713,0.5760821554770318,0.5761102267113136,0.03792808219178112,-0.03860434869402596
Strict C1 reservation,5102,20,0.6393835616438356,0.3626712328767123,3.0667754214246874,7.7298850574712645,9195.0,9222.0,28199.0,71285.0,0.811636759108211,0.38418998048145736,9195.0,9222.0,7463.0,3543.0,0.5976000434381278,0.38418998048145736,True,2.0,1.0,"w1=2, w2=1",1.6414383561643835,4.624185136897001,1.500599315068493,5.490430272481555,0.5761379762034713,0.5760821554770318,0.5761102267113136,0.1408390410958904,-0.8662451355845535
Strict C1 reservation,5102,24,0.7482020547945205,0.2495719178082192,1.3124246079613993,9.629491673970202,9119.0,9128.0,11968.0,87898.0,0.9583287641188727,0.26271460965338517,9119.0,9261.0,8739.0,2433.0,0.6078346028291621,0.26271460965338517,True,2.0,1.0,"w1=2, w2=1",1.7459760273972602,4.086603814952861,1.500599315068493,5.490430272481555,0.5761379762034713,0.5760821554770318,0.5761102267113136,0.24537671232876712,-1.4038264575286936
