comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant
both_flexible_vs_baseline,10,0.0009223744292236269,-0.00030136986301386947,0.0022102739726026156,inconclusive,0.005010793071047415,0.00015303945265511467,0.010122609006340981,supported,BG00021,release
both_flexible_vs_reservation_only,10,0.0005662100456621966,-0.0014888127853879035,0.0021643835616441454,inconclusive,0.00024229845845495922,-0.0054111703909207045,0.005763296635625769,inconclusive,BG00021,release
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00021,release
both_flexible_vs_baseline,10,0.002118721461187201,0.00042009132420085164,0.0038452054794519673,inconclusive,0.005732754222448455,7.865256838034845e-05,0.01103369737620729,supported,BG00022,release
both_flexible_vs_reservation_only,10,0.0025662100456620763,-3.6986301369966845e-05,0.004822831050228302,inconclusive,0.0038684071717719924,-0.0029404260358277478,0.010993026476875755,inconclusive,BG00022,release
both_flexible_vs_horizon_only,10,0.002118721461187201,0.000337671232876613,0.0039089041095889,inconclusive,0.005732754222448455,-1.4676490443654924e-05,0.011063106934184089,inconclusive,BG00022,release
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00023,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00023,release
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00023,release
both_flexible_vs_baseline,10,-8.904109589026321e-05,-0.0024797945205479416,0.002322089041096086,inconclusive,0.06683328521426529,0.06315839980442309,0.07036171687269518,supported,BG00024,release
