background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1_background,cancel_class2_background,target_loss_share,arm,focal_probability,realized_focal_loss_share,average_utilization,booked_slot_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_booked_slot_utilization,class_2_booked_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,seed,class_1_arrivals,class_2_arrivals,class_1_offered,class_2_offered,class_1_booked,class_2_booked,class_1_balked,class_2_balked,class_1_canceled,class_2_canceled,class_1_no_show,class_2_no_show,class_1_served,class_2_served,class_1_no_offer_rate,class_2_no_offer_rate,overall_no_offer_rate,class_1_mean_accepted_booking_delay,class_2_mean_accepted_booking_delay,class_1_balk_rate_per_arrival,class_2_balk_rate_per_arrival,class_1_no_show_rate_per_arrival,class_2_no_show_rate_per_arrival,class_1_cancel_rate_per_arrival,class_2_cancel_rate_per_arrival,total_arrivals,total_offered
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.7905821917808219,0.7905821917808219,1.0,0.034445407279029464,0.034445407279029464,1.0,1.0,0.0,0.0,0.0,0.07517123287671233,0.7152397260273973,0.07517123287671233,0.7152397260273973,0.029612756264236904,0.034953315776873356,0.0,0.0,0.005340559512636452,2018,439,4177,439,4177,439,4177,0,0,0,0,0,0,439,4177,0.0,0.0,0.0,0.029612756264236904,0.034953315776873356,0.0,0.0,0.0,0.0,0.0,0.0,4616,4616
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.8133561643835616,0.8133561643835616,1.0,0.06463157894736841,0.06463157894736841,1.0,1.0,0.0,0.0,0.0,0.07482876712328768,0.7385273972602739,0.07482876712328768,0.7385273972602739,0.043478260869565216,0.06677486668212382,0.0,0.0,0.023296605812558602,2019,437,4313,437,4313,437,4313,0,0,0,0,0,0,437,4313,0.0,0.0,0.0,0.043478260869565216,0.06677486668212382,0.0,0.0,0.0,0.0,0.0,0.0,4750,4750
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.8155821917808219,0.8155821917808219,1.0,0.06943570379693728,0.06943570379693728,1.0,1.0,0.0,0.0,0.0,0.08065068493150684,0.7356164383561644,0.08065068493150684,0.7356164383561644,0.06581740976645435,0.06983240223463687,0.0,0.0,0.0040149924681825155,2020,471,4296,471,4296,471,4296,0,0,0,0,0,0,471,4296,0.0,0.0,0.0,0.06581740976645435,0.06983240223463687,0.0,0.0,0.0,0.0,0.0,0.0,4767,4767
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.8164383561643835,0.8164383561643835,1.0,0.07550335570469799,0.07550335570469799,1.0,1.0,0.0,0.0,0.0,0.08561643835616438,0.7308219178082191,0.08561643835616438,0.7308219178082191,0.08,0.07497656982193064,0.0,0.0,-0.00502343017806936,2021,500,4268,500,4268,500,4268,0,0,0,0,0,0,500,4268,0.0,0.0,0.0,0.08,0.07497656982193064,0.0,0.0,0.0,0.0,0.0,0.0,4768,4768
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.8190068493150685,0.8190068493150685,1.0,0.050627615062761505,0.050627615062761505,1.0,1.0,0.0,0.0,0.0,0.08715753424657534,0.7313356164383562,0.08715753424657534,0.7313356164383562,0.03929273084479371,0.05197845937719504,0.0,0.0,0.012685728532401325,2022,509,4271,509,4271,509,4271,0,0,0,0,0,0,509,4271,0.0,0.0,0.0,0.03929273084479371,0.05197845937719504,0.0,0.0,0.0,0.0,0.0,0.0,4780,4780
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.7962328767123288,0.7962328767123288,1.0,0.04666666666666667,0.04666666666666667,1.0,1.0,0.0,0.0,0.0,0.0773972602739726,0.7188356164383561,0.0773972602739726,0.7188356164383561,0.05309734513274336,0.04597427346355407,0.0,0.0,-0.007123071669189289,2023,452,4198,452,4198,452,4198,0,0,0,0,0,0,452,4198,0.0,0.0,0.0,0.05309734513274336,0.04597427346355407,0.0,0.0,0.0,0.0,0.0,0.0,4650,4650
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.8017123287671233,0.8017123287671233,1.0,0.050170794192997435,0.050170794192997435,1.0,1.0,0.0,0.0,0.0,0.08476027397260275,0.7172945205479452,0.08476027397260275,0.7172945205479452,0.07878787878787878,0.04678920983528288,0.0,0.0,-0.0319986689525959,2024,495,4189,495,4189,495,4189,0,0,0,0,0,0,495,4189,0.0,0.0,0.0,0.07878787878787878,0.04678920983528288,0.0,0.0,0.0,0.0,0.0,0.0,4684,4684
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.8232876712328767,0.8232876712328767,1.0,0.05449251247920133,0.05449251247920133,1.0,1.0,0.0,0.0,0.0,0.07928082191780822,0.7440068493150684,0.07928082191780822,0.7440068493150684,0.058315334773218146,0.05408515535097814,0.0,0.0,-0.004230179422240007,2025,463,4345,463,4345,463,4345,0,0,0,0,0,0,463,4345,0.0,0.0,0.0,0.058315334773218146,0.05408515535097814,0.0,0.0,0.0,0.0,0.0,0.0,4808,4808
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.8010273972602739,0.8010273972602739,1.0,0.04553227875160325,0.04553227875160325,1.0,1.0,0.0,0.0,0.0,0.08767123287671233,0.7133561643835616,0.08767123287671233,0.7133561643835616,0.04296875,0.04584733557369179,0.0,0.0,0.0028785855736917915,2026,512,4166,512,4166,512,4166,0,0,0,0,0,0,512,4166,0.0,0.0,0.0,0.04296875,0.04584733557369179,0.0,0.0,0.0,0.0,0.0,0.0,4678,4678
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.810958904109589,0.810958904109589,1.0,0.06904560810810811,0.06904560810810811,1.0,1.0,0.0,0.0,0.0,0.07825342465753425,0.7327054794520548,0.07825342465753425,0.7327054794520548,0.07439824945295405,0.06847394250993223,0.0,0.0,-0.005924306943021818,2027,457,4279,457,4279,457,4279,0,0,0,0,0,0,457,4279,0.0,0.0,0.0,0.07439824945295405,0.06847394250993223,0.0,0.0,0.0,0.0,0.0,0.0,4736,4736
