scenario,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
"A: Pre-threshold gap
(0.30 gap below threshold)",35,2,18167,10279,7888,18167,0,5075,858,4345,8.14874987839284,8.588759839269004,0.23916992348764243,0.3720034246575342,0.434193868002422,83761.0,156032.0
"A: Pre-threshold gap
(0.30 gap below threshold)",36,1,18114,12305,5809,18114,0,5828,989,5488,7.590166598943519,8.468919068124103,0.30297007839240364,0.46986301369863015,0.3206911780942917,93397.0,153406.0
"A: Pre-threshold gap
(0.30 gap below threshold)",36,2,18181,10384,7797,18181,0,5161,958,4265,8.072130200308166,8.457455585501348,0.23458555635003575,0.3651541095890411,0.42885429844343,83821.0,153765.0
"A: Pre-threshold gap
(0.30 gap below threshold)",37,1,18308,12367,5941,18308,0,5813,956,5598,7.704131964098003,8.604107493991698,0.30576797028621366,0.47928082191780824,0.32450294953026,95277.0,157524.0
"A: Pre-threshold gap
(0.30 gap below threshold)",37,2,18348,10350,7998,18348,0,5224,857,4269,8.217294685990337,8.65167865707434,0.23266841072596467,0.36549657534246577,0.43590582079790713,85049.0,158741.0
"A: Pre-threshold gap
(0.30 gap below threshold)",38,1,18370,12273,6097,18370,0,5686,959,5628,7.714576713110079,8.63500272182907,0.30636908002177465,0.48184931506849316,0.33189983669025586,94681.0,158625.0
"A: Pre-threshold gap
(0.30 gap below threshold)",38,2,18337,10352,7985,18337,0,5274,833,4245,8.208848531684698,8.63309156350548,0.23149915471451166,0.3634417808219178,0.43545836287288,84978.0,158305.0
"A: Pre-threshold gap
(0.30 gap below threshold)",39,1,18383,12293,6090,18383,0,5802,976,5508,7.76384934515578,8.669531632486537,0.29962465321220694,0.47157534246575344,0.33128433879127456,95441.0,159372.0
"A: Pre-threshold gap
(0.30 gap below threshold)",39,2,18368,10362,8006,18368,0,5167,860,4331,8.208550472881683,8.660278745644598,0.23579050522648085,0.37080479452054793,0.43586672473867594,85057.0,159072.0
"A: Pre-threshold gap
(0.30 gap below threshold)",40,1,18329,12316,6013,18329,0,5837,984,5494,7.804725560246833,8.709422227071853,0.2997435757542692,0.4703767123287671,0.32805935948496917,96123.0,159635.0
"A: Pre-threshold gap
(0.30 gap below threshold)",40,2,18246,10424,7822,18246,0,5230,860,4332,8.193399846508058,8.651266030910884,0.23742190069056232,0.3708904109589041,0.4286967006467171,85408.0,157851.0
"A: Pre-threshold gap
(0.30 gap below threshold)",41,1,18241,12379,5862,18241,0,5857,976,5545,7.580660796510219,8.47766021599693,0.30398552710925936,0.4747431506849315,0.32136396030919356,93841.0,154641.0
"A: Pre-threshold gap
(0.30 gap below threshold)",41,2,18193,10367,7826,18193,0,5206,911,4248,8.092505064145847,8.511020722255813,0.2334963997141758,0.3636986301369863,0.4301654482493267,83895.0,154841.0
"A: Pre-threshold gap
(0.30 gap below threshold)",42,1,18387,12354,6033,18387,0,5864,966,5518,7.735632183908046,8.630662968401587,0.30010333387719584,0.47243150684931506,0.3281122532223854,95566.0,158692.0
"A: Pre-threshold gap
(0.30 gap below threshold)",42,2,18167,10382,7785,18167,0,5189,876,4312,8.109227509150452,8.535916772169317,0.2373534430560907,0.36917808219178083,0.4285242472615181,84190.0,155072.0
"A: Pre-threshold gap
(0.30 gap below threshold)",43,1,18456,12499,5957,18456,0,5938,997,5560,7.6919753580286425,8.587993064586042,0.3012570437798006,0.476027397260274,0.32276766363242304,96142.0,158500.0
"A: Pre-threshold gap
(0.30 gap below threshold)",43,2,17919,10241,7678,17919,0,5104,839,4292,8.167952348403476,8.57899436352475,0.23952229477091355,0.36746575342465754,0.4284837323511357,83648.0,153727.0
"A: Pre-threshold gap
(0.30 gap below threshold)",44,1,18369,12304,6065,18369,0,5829,908,5567,7.645481144343303,8.57232293538026,0.3030649463770483,0.47662671232876713,0.3301758397299799,94070.0,157465.0
"A: Pre-threshold gap
(0.30 gap below threshold)",44,2,18406,10393,8013,18406,0,5207,846,4340,8.157221206581353,8.621210474845158,0.23579267630120612,0.3715753424657534,0.4353471694012822,84778.0,158682.0
"A: Pre-threshold gap
(0.30 gap below threshold)",45,1,18307,12233,6074,18307,0,5754,1002,5476,7.725087877053871,8.632708799912601,0.2991205549789698,0.46883561643835614,0.3317856557600918,94501.0,158039.0
"A: Pre-threshold gap
(0.30 gap below threshold)",45,2,18118,10356,7762,18118,0,5174,910,4272,8.200560061799923,8.610387459984546,0.23578761452698974,0.36575342465753424,0.4284137322000221,84925.0,156003.0
"A: Pre-threshold gap
(0.30 gap below threshold)",46,1,18046,12156,5890,18046,0,5734,914,5508,7.668476472523857,8.574199268535963,0.30521999335032696,0.47157534246575344,0.3263881192508035,93218.0,154730.0
"A: Pre-threshold gap
(0.30 gap below threshold)",46,2,18283,10438,7845,18283,0,5207,931,4300,8.163537076068213,8.601159547120275,0.23519116118798883,0.3681506849315068,0.4290871301208773,85211.0,157255.0
"A: Pre-threshold gap
(0.30 gap below threshold)",47,1,18225,12366,5859,18225,0,5887,941,5538,7.761280931586608,8.656186556927297,0.30386831275720166,0.47414383561643836,0.3214814814814815,95976.0,157759.0
"A: Pre-threshold gap
(0.30 gap below threshold)",47,2,18291,10476,7815,18291,0,5285,885,4305,8.19110347460863,8.627576403695807,0.23536165327210104,0.3685787671232877,0.42725930785632277,85810.0,157807.0
"A: Pre-threshold gap
(0.30 gap below threshold)",48,1,18449,12267,6182,18449,0,5779,997,5490,7.735713703431972,8.680362079245487,0.2975771044501057,0.4700342465753425,0.3350859125155835,94894.0,160144.0
"A: Pre-threshold gap
(0.30 gap below threshold)",48,2,18323,10423,7900,18323,0,5232,875,4315,8.32505036937542,8.73928941767178,0.23549637068165694,0.3694349315068493,0.43115210391311465,86772.0,160130.0
"A: Pre-threshold gap
(0.30 gap below threshold)",49,1,18025,12180,5845,18025,0,5809,1001,5370,7.6681444991789816,8.563217753120666,0.29791955617198335,0.4597602739726027,0.32427184466019415,93398.0,154352.0
"A: Pre-threshold gap
(0.30 gap below threshold)",49,2,18300,10436,7864,18300,0,5128,914,4394,8.111441165197393,8.559508196721312,0.24010928961748634,0.3761986301369863,0.42972677595628417,84651.0,156639.0
"A: Pre-threshold gap
(0.30 gap below threshold)",50,1,18112,12211,5901,18112,0,5711,1031,5467,7.648513635246909,8.533348056537102,0.3018440812720848,0.46806506849315066,0.3258060954063604,93396.0,154556.0
"A: Pre-threshold gap
(0.30 gap below threshold)",50,2,18066,10252,7814,18066,0,5079,840,4329,8.146800624268435,8.56409830621056,0.2396213882431086,0.3706335616438356,0.4325251854311967,83521.0,154719.0
"A: Pre-threshold gap
(0.30 gap below threshold)",51,1,18228,12276,5952,18228,0,5888,983,5405,7.741202346041056,8.63204959403116,0.2965218345402677,0.4627568493150685,0.32653061224489793,95031.0,157345.0
"A: Pre-threshold gap
(0.30 gap below threshold)",51,2,18181,10377,7804,18181,0,5076,907,4386,8.145995952587453,8.578516033221495,0.24124085583851274,0.375513698630137,0.4292393157692096,84531.0,155966.0
"A: Pre-threshold gap
(0.30 gap below threshold)",52,1,18179,12238,5941,18179,0,5817,975,5442,7.724219643732636,8.617635733538698,0.2993564002420375,0.46592465753424656,0.32680565487650587,94529.0,156660.0
"A: Pre-threshold gap
(0.30 gap below threshold)",52,2,18335,10463,7872,18335,0,5207,925,4328,8.187517920290547,8.60730842650668,0.2360512680665394,0.37054794520547946,0.42934278701936185,85666.0,157815.0
"A: Pre-threshold gap
(0.30 gap below threshold)",53,1,18245,12181,6064,18245,0,5694,1000,5486,7.7061817584763155,8.62247191011236,0.30068511921074265,0.4696917808219178,0.3323650315154837,93869.0,157317.0
"A: Pre-threshold gap
(0.30 gap below threshold)",53,2,18237,10390,7847,18237,0,5221,901,4267,8.241867179980751,8.642704392169765,0.23397488622032134,0.36532534246575343,0.43027910292262983,85633.0,157617.0
"A: Pre-threshold gap
(0.30 gap below threshold)",54,1,18296,12288,6008,18296,0,5820,973,5493,7.615804036458333,8.51984040227372,0.300229558373415,0.47029109589041096,0.32837778749453433,93583.0,155879.0
"A: Pre-threshold gap
(0.30 gap below threshold)",54,2,18214,10279,7935,18214,0,5078,908,4292,8.09135129876447,8.481717360272318,0.23564291204567914,0.36746575342465754,0.43565389261008014,83171.0,154486.0
