class1_xi_high,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.0,95,0.9205479452054794,0.2949699514283362,10749,11946.0,8.407911581462832,9.36099448423479,0.35693312477703687,36441,23434,36441,13007,0,11739,928,18
0.0,96,0.9235445205479452,0.2935729698724427,10748,11985.0,8.38999448381211,9.359400180273688,0.356286362022343,36611,23567,36611,13044,0,11922,888,9
0.0,97,0.9205479452054794,0.2936961575276904,10739,11957.0,8.334443306010929,9.294461917133871,0.3593873923150554,36565,23424,36565,13141,0,11743,924,18
0.0,98,0.9199486301369864,0.29322075579965573,10731,11942.0,8.336739019840596,9.304888378828865,0.35546629505150695,36597,23588,36597,13009,0,11908,941,8
0.0,99,0.9214897260273973,0.2955877900415623,10739,11967.0,8.252285505815701,9.200242217390107,0.35870193498665054,36331,23299,36331,13032,0,11632,914,14
0.0,100,0.9185787671232877,0.2934580461656274,10730,11932.0,8.37964107591969,9.333278634722678,0.3584126463187835,36564,23459,36564,13105,0,11777,943,9
0.1,1,0.8912671232876712,0.2833914369757054,10405,11573.0,8.373185784209406,9.338707920252752,0.3600882449068526,36716,23495,36716,13221,0,11815,1273,2
0.1,2,0.8911815068493151,0.28550637082601055,10397,11585.0,8.423729532535845,9.382222100175747,0.35264718804920914,36416,23574,36416,12842,0,11902,1268,7
0.1,3,0.8964897260273973,0.28781050780391293,10474,11650.0,8.355521485456327,9.318586502528028,0.35477577489558143,36392,23481,36392,12911,0,11786,1205,16
0.1,4,0.8872431506849315,0.2811811730157435,10341,11544.0,8.392910147139888,9.355004486499714,0.35875683171547434,36777,23583,36777,13194,0,11913,1321,8
0.1,5,0.8928082191780822,0.2876995615849119,10434,11599.0,8.25201862690648,9.195136074116967,0.35459232911462213,36267,23407,36267,12860,0,11723,1240,10
0.1,6,0.8964897260273973,0.2882176556353333,10477,11642.0,8.379796264855688,9.330142224422987,0.35187477648482846,36351,23560,36351,12791,0,11863,1191,29
0.1,7,0.8916095890410959,0.2861108820538193,10409,11593.0,8.408399710354816,9.361644814601028,0.35469063522168165,36381,23477,36381,12904,0,11793,1256,19
0.1,8,0.8934931506849315,0.2869926758081392,10423,11611.0,8.32797552357149,9.291067790076546,0.3610330965361529,36318,23206,36318,13112,0,11515,1246,22
0.1,9,0.8879280821917809,0.28320227173438184,10372,11545.0,8.276792141254182,9.222012887723897,0.35514962865880295,36624,23617,36624,13007,0,11923,1310,12
0.1,10,0.8970890410958904,0.2863760964912281,10447,11650.0,8.310518670426386,9.283991228070175,0.3583881578947368,36480,23406,36480,13074,0,11743,1211,5
0.1,11,0.8905821917808219,0.28276481149012567,10395,11568.0,8.518009780990857,9.502148958163321,0.36034492138621405,36762,23515,36762,13247,0,11844,1263,13
0.1,12,0.895291095890411,0.28835219431410436,10447,11648.0,8.35020934803042,9.307673199006349,0.35396080596191004,36230,23406,36230,12824,0,11748,1209,2
0.1,13,0.8973458904109589,0.28743649594947135,10467,11652.0,8.27007486631016,9.231607853906358,0.35809419195386516,36415,23375,36415,13040,0,11698,1196,14
0.1,14,0.892722602739726,0.28525667351129363,10419,11589.0,8.336116198832901,9.310965092402464,0.3572347707049966,36525,23477,36525,13048,0,11806,1247,5
0.1,15,0.8935787671232877,0.2849064335473296,10429,11603.0,8.35183859146624,9.31217046851523,0.35142740062832944,36605,23741,36605,12864,0,12070,1231,11
0.1,16,0.8928082191780822,0.28320291272687753,10423,11614.0,8.426293139819425,9.410634713618085,0.3559939137050321,36804,23702,36804,13102,0,12037,1235,7
0.1,17,0.893236301369863,0.2864052323504356,10422,11620.0,8.182179657103767,9.133391959108522,0.3572508175547556,36389,23389,36389,13000,0,11704,1245,18
0.1,18,0.8982020547945205,0.28741482636893523,10503,11671.0,8.186201906707526,9.149002544947049,0.35703144241031115,36543,23496,36543,13047,0,11802,1178,13
0.1,19,0.8922945205479452,0.2819173410561074,10416,11602.0,8.455068053089864,9.431320540233306,0.3596773757003275,36947,23658,36947,13289,0,11974,1251,17
0.1,20,0.8918664383561644,0.2860398078242965,10419,11603.0,8.321171941830624,9.279231297185998,0.3581331503088538,36425,23380,36425,13045,0,11693,1259,9
0.1,21,0.8934931506849315,0.28713907868635663,10422,11616.0,8.354588134869825,9.310750495922417,0.3544743222393652,36296,23430,36296,12866,0,11771,1237,0
0.1,22,0.8911815068493151,0.28488499452354876,10404,11577.0,8.350851911502925,9.303203723986856,0.3539430449069003,36520,23594,36520,12926,0,11902,1267,21
0.1,23,0.8960616438356165,0.2846966347334807,10431,11643.0,8.388963604269984,9.347826086956522,0.3505827124102732,36639,23794,36639,12845,0,12147,1210,6
0.1,24,0.9017123287671233,0.2872357856791742,10518,11707.0,8.410423452768729,9.381779452728166,0.35444317002567044,36618,23639,36618,12979,0,11963,1137,21
0.1,25,0.8906678082191781,0.28305582761998044,10404,11575.0,8.343934189882543,9.311894656654696,0.35839046686255305,36756,23583,36756,13173,0,11887,1280,12
0.1,26,0.894263698630137,0.2879911760650765,10444,11636.0,8.263442923542707,9.208382738177306,0.35334344409209983,36265,23451,36265,12814,0,11762,1236,9
0.1,27,0.8972602739726028,0.28373899815277626,10445,11647.0,8.479319969550875,9.465554710420514,0.35765511246332715,36812,23646,36812,13166,0,11997,1192,12
0.1,28,0.8964897260273973,0.2866085340185332,10485,11640.0,8.317740362186692,9.284777082251319,0.3554656534455895,36583,23579,36583,13004,0,11885,1199,10
0.1,29,0.893236301369863,0.2846679420606723,10416,11597.0,8.330947816826411,9.292402295709211,0.35843126537305275,36590,23475,36590,13115,0,11804,1242,13
0.1,30,0.8934075342465754,0.28684897622646693,10437,11613.0,8.420452117430878,9.381998076130273,0.35685035041912877,36385,23401,36385,12984,0,11715,1231,18
0.1,31,0.8964897260273973,0.2881673603263416,10455,11660.0,8.36072178646436,9.318817011658995,0.3569361373721783,36281,23331,36281,12950,0,11673,1198,5
0.1,32,0.8955479452054794,0.2856869289270668,10443,11648.0,8.434784460725847,9.394266017398916,0.35777206324889205,36554,23476,36554,13078,0,11793,1229,11
0.1,33,0.8918664383561644,0.28237370994024985,10397,11590.0,8.39309964352402,9.359125475285172,0.3600217273221076,36820,23564,36820,13256,0,11891,1258,18
0.1,34,0.8933219178082191,0.28290329575021683,10438,11613.0,8.498249462184164,9.471731352992194,0.35746422376409365,36896,23707,36896,13189,0,12007,1245,17
0.1,35,0.894263698630137,0.2847182504017213,10454,11642.0,8.426070368800339,9.400250565133318,0.35751831576653864,36717,23590,36717,13127,0,11894,1226,16
