class1_xi_high,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
0.0,21,2,18141,11776,6365,18141,0,5898,919,4959,8.326851222826088,9.283666832037925,0.2733586902596329,0.4245719178082192,0.35086268673171267,98057.0,168415.0
0.0,22,1,18194,11676,6518,18194,0,5852,0,5814,8.33958547447756,9.304880729910959,0.3195558975486424,0.4977739726027397,0.3582499725184127,97373.0,169293.0
0.0,22,2,18326,11918,6408,18326,0,6050,935,4922,8.361889578788388,9.301538797337116,0.26858015933646184,0.4214041095890411,0.34966713958310597,99657.0,170460.0
0.0,23,1,18190,11794,6396,18190,0,5927,0,5864,8.349075801254875,9.327707531610775,0.3223749312809236,0.5020547945205479,0.35162177020340846,98469.0,169671.0
0.0,23,2,18449,12000,6449,18449,0,6220,905,4872,8.428166666666666,9.367662203913492,0.26407935389452003,0.41712328767123286,0.34955824163911325,101138.0,172824.0
0.0,24,1,18437,11803,6634,18437,0,5917,0,5878,8.430737947979328,9.406899170146987,0.31881542550306446,0.5032534246575342,0.3598199273200629,99508.0,173435.0
0.0,24,2,18181,11836,6345,18181,0,6046,868,4909,8.3901655964853,9.356306033771519,0.2700071503217645,0.42029109589041097,0.34899070458170617,99306.0,170107.0
0.0,25,1,18397,11754,6643,18397,0,5942,0,5804,8.338182746299132,9.31939990215796,0.3154862205794423,0.4969178082191781,0.36109148230689786,98007.0,171449.0
0.0,25,2,18359,11829,6530,18359,0,5945,971,4909,8.349649167300703,9.304373876572798,0.26738929135573836,0.42029109589041097,0.35568386077673075,98768.0,170819.0
0.0,26,1,18075,11653,6422,18075,0,5877,0,5772,8.324894876855746,9.25399723374827,0.31933609958506226,0.49417808219178083,0.35529737206085754,97010.0,167266.0
0.0,26,2,18190,11798,6392,18190,0,5885,938,4970,8.202746228174266,9.163056624518967,0.2732270478284772,0.425513698630137,0.3514018691588785,96776.0,166676.0
0.0,27,1,18362,11795,6567,18362,0,5987,0,5804,8.474947011445527,9.46313037795447,0.3160875721598954,0.4969178082191781,0.3576407798714737,99962.0,173762.0
0.0,27,2,18450,11851,6599,18450,0,6010,916,4917,8.483672263943971,9.467967479674797,0.2665040650406504,0.42097602739726026,0.3576693766937669,100540.0,174684.0
0.0,28,1,18467,11940,6527,18467,0,6023,0,5909,8.307621440536014,9.277413765094494,0.3199761737152759,0.5059075342465753,0.3534412736232198,99193.0,171326.0
0.0,28,2,18116,11639,6477,18116,0,5862,921,4854,8.328120972592147,9.292283064694193,0.2679399425921837,0.4155821917808219,0.3575292559063811,96931.0,168339.0
0.0,29,1,18334,11785,6549,18334,0,5964,0,5809,8.344251166737378,9.30047998254609,0.3168430238900404,0.4973458904109589,0.3572051925384531,98337.0,170515.0
0.0,29,2,18256,11690,6566,18256,0,5840,928,4921,8.317536355859708,9.28429009640666,0.2695552147239264,0.4213184931506849,0.35966257668711654,97232.0,169494.0
0.0,30,1,18144,11768,6376,18144,0,5811,0,5949,8.421397008837525,9.36766975308642,0.32787698412698413,0.5093321917808219,0.3514109347442681,99103.0,169967.0
0.0,30,2,18241,11633,6608,18241,0,5904,904,4815,8.41949626063784,9.396250205580834,0.2639657913491585,0.4122431506849315,0.36226084096266653,97944.0,171397.0
0.0,31,1,18147,11695,6452,18147,0,5815,0,5877,8.340829414279607,9.301592549732739,0.3238551826748223,0.5031678082191781,0.3555408607483331,97546.0,168796.0
0.0,31,2,18134,11636,6498,18134,0,5858,899,4877,8.380715022344448,9.336053821550678,0.26894231829712145,0.4175513698630137,0.35833241424947615,97518.0,169300.0
0.0,32,1,18375,11866,6509,18375,0,5930,0,5930,8.451879319062868,9.394122448979592,0.32272108843537417,0.5077054794520548,0.3542312925170068,100290.0,172617.0
0.0,32,2,18179,11610,6569,18179,0,5863,899,4843,8.417312661498707,9.394411133725727,0.2664062929754112,0.4146404109589041,0.361351009406458,97725.0,170781.0
0.0,33,1,18471,11817,6654,18471,0,5977,0,5830,8.428958280443428,9.381246277949218,0.3156299063396676,0.4991438356164384,0.3602403768068865,99605.0,173281.0
0.0,33,2,18349,11747,6602,18349,0,5914,947,4878,8.35702732612582,9.336857594419314,0.2658455501662216,0.41763698630136986,0.3598016240667066,98170.0,171322.0
0.0,34,1,18446,11902,6544,18446,0,6004,0,5888,8.49957990253739,9.466767862951317,0.3192019950124688,0.5041095890410959,0.3547652607611406,101162.0,174624.0
0.0,34,2,18450,11805,6645,18450,0,6003,916,4879,8.496908089792461,9.47669376693767,0.2644444444444444,0.417722602739726,0.36016260162601627,100306.0,174845.0
0.0,35,1,18290,11776,6514,18290,0,5945,0,5823,8.40319293478261,9.381137233460908,0.3183706943685074,0.4985445205479452,0.35615090213231276,98956.0,171581.0
0.0,35,2,18427,11814,6613,18427,0,5949,928,4929,8.448874217030642,9.419221794106473,0.26748792532696586,0.42200342465753427,0.3588755630325067,99815.0,173568.0
0.0,36,1,18085,11710,6375,18085,0,5879,0,5820,8.12399658411614,9.036328448990876,0.3218136577273984,0.4982876712328767,0.35250207354160906,95132.0,163422.0
0.0,36,2,18192,11696,6496,18192,0,5839,912,4941,8.018467852257182,8.977352682497802,0.27160290237467016,0.4230308219178082,0.357080035180299,93784.0,163316.0
