seed,step_index,gap_index,within_step,post_gap,served_base,served_step_up,served_gap_up,delta_step,delta_gap,abs_delta_step,abs_delta_gap,effect_difference,gap_effect_larger
5,1,4,0.1,0.4,0.20147864184008762,0.21035865326522765,0.1966010042487447,0.008880011425140028,-0.004877637591342937,0.008880011425140028,0.004877637591342937,-0.0040023738337970904,False
5,2,0,0.2,0.0,0.23220524017467248,0.2566076889471385,0.22956474130851354,0.024402448772466,-0.0026404988661589412,0.024402448772466,0.0026404988661589412,-0.02176194990630706,False
5,2,1,0.2,0.1,0.22956474130851354,0.24366005973391258,0.21871063153858794,0.014095318425399045,-0.010854109769925596,0.014095318425399045,0.010854109769925596,-0.0032412086554734487,False
5,2,2,0.2,0.2,0.21871063153858794,0.23785761809713907,0.21732938985650127,0.019146986558551127,-0.0013812416820866702,0.019146986558551127,0.0013812416820866702,-0.017765744876464457,False
5,2,3,0.2,0.3,0.21732938985650127,0.23191256830601092,0.21035865326522765,0.014583178449509654,-0.0069707365912736186,0.014583178449509654,0.0069707365912736186,-0.007612441858236035,False
5,2,4,0.2,0.4,0.21035865326522765,0.22833999233758415,0.20666334053994123,0.017981339072356495,-0.0036953127252864204,0.017981339072356495,0.0036953127252864204,-0.014286026347070074,False
5,3,0,0.3,0.0,0.2566076889471385,0.2679533707247333,0.24366005973391258,0.011345681777594818,-0.012947629213225897,0.011345681777594818,0.012947629213225897,0.0016019474356310792,True
5,3,1,0.3,0.1,0.24366005973391258,0.25426500245271705,0.23785761809713907,0.010604942718804466,-0.005802441636773514,0.010604942718804466,0.005802441636773514,-0.004802501082030952,False
5,3,2,0.3,0.2,0.23785761809713907,0.2415032679738562,0.23191256830601092,0.003645649876717144,-0.005945049791128143,0.003645649876717144,0.005945049791128143,0.002299399914410999,True
5,3,3,0.3,0.3,0.23191256830601092,0.23879784395927478,0.22833999233758415,0.006885275653263856,-0.0035725759684267777,0.006885275653263856,0.0035725759684267777,-0.0033126996848370782,False
5,3,4,0.3,0.4,0.22833999233758415,0.23066321186393957,0.2234262687867567,0.002323219526355419,-0.004913723550827448,0.002323219526355419,0.004913723550827448,0.002590504024472029,True
5,4,0,0.4,0.0,0.2679533707247333,0.2728788131355226,0.25426500245271705,0.004925442410789294,-0.01368836827201625,0.004925442410789294,0.01368836827201625,0.008762925861226956,True
5,4,1,0.4,0.1,0.25426500245271705,0.263201871657754,0.2415032679738562,0.008936869205036946,-0.012761734478860837,0.008936869205036946,0.012761734478860837,0.003824865273823891,True
5,4,2,0.4,0.2,0.2415032679738562,0.2564806678383128,0.23879784395927478,0.014977399864456592,-0.0027054240145814312,0.014977399864456592,0.0027054240145814312,-0.01227197584987516,False
5,4,3,0.4,0.3,0.23879784395927478,0.24941240776168352,0.23066321186393957,0.010614563802408744,-0.008134632095335215,0.010614563802408744,0.008134632095335215,-0.0024799317070735294,False
5,4,4,0.4,0.4,0.23066321186393957,0.24658286216171707,0.23323615160349853,0.015919650297777505,0.002572939739558966,0.015919650297777505,0.002572939739558966,-0.013346710558218539,False
6,0,0,0.0,0.0,0.20660438844232024,0.21572569689724502,0.198930363345647,0.009121308454924787,-0.007674025096673226,0.009121308454924787,0.007674025096673226,-0.001447283358251561,False
6,0,1,0.0,0.1,0.198930363345647,0.2144384147344187,0.19167032484635646,0.015508051388771676,-0.00726003849929055,0.015508051388771676,0.00726003849929055,-0.008248012889481127,False
6,0,2,0.0,0.2,0.19167032484635646,0.20983409735865532,0.18762214983713354,0.018163772512298865,-0.004048175009222915,0.018163772512298865,0.004048175009222915,-0.01411559750307595,False
6,0,3,0.0,0.3,0.18762214983713354,0.20517278852423387,0.18399344441409451,0.01755063868710033,-0.0036287054230390303,0.01755063868710033,0.0036287054230390303,-0.013921933264061298,False
6,0,4,0.0,0.4,0.18399344441409451,0.2026458208057727,0.1734534935469515,0.018652376391678188,-0.010539950867143016,0.018652376391678188,0.010539950867143016,-0.008112425524535172,False
6,1,0,0.1,0.0,0.21572569689724502,0.23677292145908643,0.2144384147344187,0.02104722456184141,-0.0012872821628263365,0.02104722456184141,0.0012872821628263365,-0.019759942399015074,False
6,1,1,0.1,0.1,0.2144384147344187,0.23084988962472405,0.20983409735865532,0.016411474890305366,-0.0046043173757633615,0.016411474890305366,0.0046043173757633615,-0.011807157514542005,False
6,1,2,0.1,0.2,0.20983409735865532,0.22120497779726989,0.20517278852423387,0.011370880438614561,-0.0046613088344214515,0.011370880438614561,0.0046613088344214515,-0.00670957160419311,False
