study,w1,c,gamma,served_rate_min,best Q,strict beats FCFS?,binding constraint or main failure mode,mean strict-minus-FCFS objective
B: wait-adjusted,1.5,0.02,0.0,0.7,24,False,service-rate guardrail,0.10689212328767135
B: wait-adjusted,1.5,0.02,0.02,0.45,16,True,none,0.008297947258943904
B: wait-adjusted,1.5,0.02,0.02,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.02,0.02,0.65,24,False,service-rate guardrail,0.1081552617415729
B: wait-adjusted,1.5,0.02,0.02,0.7,24,False,service-rate guardrail,0.1081552617415729
B: wait-adjusted,1.5,0.02,0.05,0.45,16,True,none,0.008441785955578896
B: wait-adjusted,1.5,0.02,0.05,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.02,0.05,0.65,24,False,service-rate guardrail,0.11004996942242529
B: wait-adjusted,1.5,0.02,0.05,0.7,24,False,service-rate guardrail,0.11004996942242529
B: wait-adjusted,1.5,0.02,0.1,0.45,16,True,none,0.008681517116637139
B: wait-adjusted,1.5,0.02,0.1,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.02,0.1,0.65,24,False,service-rate guardrail,0.11320781555717926
B: wait-adjusted,1.5,0.02,0.1,0.7,24,False,service-rate guardrail,0.11320781555717926
B: wait-adjusted,1.5,0.05,0.0,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.05,0.0,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.05,0.0,0.65,24,False,service-rate guardrail,0.08439212328767116
B: wait-adjusted,1.5,0.05,0.0,0.7,24,False,service-rate guardrail,0.08439212328767116
B: wait-adjusted,1.5,0.05,0.02,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.05,0.02,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.05,0.02,0.65,24,False,service-rate guardrail,0.08565526174157272
B: wait-adjusted,1.5,0.05,0.02,0.7,24,False,service-rate guardrail,0.08565526174157272
B: wait-adjusted,1.5,0.05,0.05,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.05,0.05,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.05,0.05,0.65,24,False,service-rate guardrail,0.0875499694224251
B: wait-adjusted,1.5,0.05,0.05,0.7,24,False,service-rate guardrail,0.0875499694224251
B: wait-adjusted,1.5,0.05,0.1,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.05,0.1,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.05,0.1,0.65,24,False,service-rate guardrail,0.09070781555717908
B: wait-adjusted,1.5,0.05,0.1,0.7,24,False,service-rate guardrail,0.09070781555717908
B: wait-adjusted,1.5,0.1,0.0,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.1,0.0,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.1,0.0,0.65,24,False,service-rate guardrail,0.0468921232876713
B: wait-adjusted,1.5,0.1,0.0,0.7,24,False,service-rate guardrail,0.0468921232876713
B: wait-adjusted,1.5,0.1,0.02,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.1,0.02,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.1,0.02,0.65,24,False,service-rate guardrail,0.04815526174157285
B: wait-adjusted,1.5,0.1,0.02,0.7,24,False,service-rate guardrail,0.04815526174157285
B: wait-adjusted,1.5,0.1,0.05,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.1,0.05,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.1,0.05,0.65,24,False,service-rate guardrail,0.05004996942242523
B: wait-adjusted,1.5,0.1,0.05,0.7,24,False,service-rate guardrail,0.05004996942242523
B: wait-adjusted,1.5,0.1,0.1,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.1,0.1,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.1,0.1,0.65,24,False,service-rate guardrail,0.05320781555717922
B: wait-adjusted,1.5,0.1,0.1,0.7,24,False,service-rate guardrail,0.05320781555717922
B: wait-adjusted,2.0,0.0,0.0,0.45,16,True,none,0.03655821917808226
B: wait-adjusted,2.0,0.0,0.0,0.55,12,True,none,0.006883561643835678
B: wait-adjusted,2.0,0.0,0.0,0.65,24,False,service-rate guardrail,0.2452397260273973
B: wait-adjusted,2.0,0.0,0.0,0.7,24,False,service-rate guardrail,0.2452397260273973
B: wait-adjusted,2.0,0.0,0.02,0.45,16,True,none,0.0367947694192754
B: wait-adjusted,2.0,0.0,0.02,0.55,12,True,none,0.006941899365280735
B: wait-adjusted,2.0,0.0,0.02,0.65,24,False,service-rate guardrail,0.24726584024603643
B: wait-adjusted,2.0,0.0,0.02,0.7,24,False,service-rate guardrail,0.24726584024603643
B: wait-adjusted,2.0,0.0,0.05,0.45,16,True,none,0.0371495947810649
B: wait-adjusted,2.0,0.0,0.05,0.55,12,True,none,0.007029405947448231
B: wait-adjusted,2.0,0.0,0.05,0.65,24,False,service-rate guardrail,0.250305011573995
B: wait-adjusted,2.0,0.0,0.05,0.7,24,False,service-rate guardrail,0.250305011573995
B: wait-adjusted,2.0,0.0,0.1,0.45,16,True,none,0.0377409703840478
B: wait-adjusted,2.0,0.0,0.1,0.55,12,True,none,0.007175250251061005
B: wait-adjusted,2.0,0.0,0.1,0.65,24,False,service-rate guardrail,0.25537029712059295
B: wait-adjusted,2.0,0.0,0.1,0.7,24,False,service-rate guardrail,0.25537029712059295
B: wait-adjusted,2.0,0.02,0.0,0.45,16,True,none,0.026558219178082255
B: wait-adjusted,2.0,0.02,0.0,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.02,0.0,0.65,24,False,service-rate guardrail,0.2302397260273974
B: wait-adjusted,2.0,0.02,0.0,0.7,24,False,service-rate guardrail,0.2302397260273974
B: wait-adjusted,2.0,0.02,0.02,0.45,16,True,none,0.026794769419275388
B: wait-adjusted,2.0,0.02,0.02,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.02,0.02,0.65,24,False,service-rate guardrail,0.23226584024603653
B: wait-adjusted,2.0,0.02,0.02,0.7,24,False,service-rate guardrail,0.23226584024603653
B: wait-adjusted,2.0,0.02,0.05,0.45,16,True,none,0.02714959478106489
B: wait-adjusted,2.0,0.02,0.05,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.02,0.05,0.65,24,False,service-rate guardrail,0.2353050115739951
B: wait-adjusted,2.0,0.02,0.05,0.7,24,False,service-rate guardrail,0.2353050115739951
B: wait-adjusted,2.0,0.02,0.1,0.45,16,True,none,0.02774097038404779
B: wait-adjusted,2.0,0.02,0.1,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.02,0.1,0.65,24,False,service-rate guardrail,0.24037029712059305
B: wait-adjusted,2.0,0.02,0.1,0.7,24,False,service-rate guardrail,0.24037029712059305
B: wait-adjusted,2.0,0.05,0.0,0.45,16,True,none,0.011558219178082352
B: wait-adjusted,2.0,0.05,0.0,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,2.0,0.05,0.0,0.65,24,False,service-rate guardrail,0.2077397260273972
