comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant
both_flexible_vs_reservation_only,10,-0.0012785388127854124,-0.002630136986301114,6.415525114158298e-05,inconclusive,0.007367891197097143,0.004379607811754729,0.010563961116062993,supported,BG00034,strict
both_flexible_vs_horizon_only,10,0.00032876712328762104,-0.00011872146118730997,0.0009132420091323534,inconclusive,0.0012176310880825602,-0.00046602308970910747,0.0032622344398433954,inconclusive,BG00034,strict
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00035,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00035,strict
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00035,strict
both_flexible_vs_baseline,10,-0.06381506849315072,-0.06727397260273964,-0.06078065068493151,contradicted,0.3302801099654017,0.32761456424730834,0.33301724470667476,supported,BG00036,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00036,strict
both_flexible_vs_horizon_only,10,-0.06381506849315072,-0.06710291095890411,-0.06076712328767136,contradicted,0.3302801099654017,0.3276366426547158,0.3328679290184907,supported,BG00036,strict
both_flexible_vs_baseline,10,0.0009589041095890427,-0.0025205479452057133,0.004356506849315318,inconclusive,0.0014813182280869585,-0.0013462070619639094,0.0043935036714207384,inconclusive,BG00037,strict
both_flexible_vs_reservation_only,10,0.0001643835616438216,-0.0007397260273973138,0.0012328767123287788,inconclusive,0.00013760447726089974,-0.00029544355529116385,0.0007082569870738631,inconclusive,BG00037,strict
both_flexible_vs_horizon_only,10,0.0009589041095890427,-0.0025342465753425505,0.0043154109589044224,inconclusive,0.0014813182280869585,-0.0014684003448468383,0.0043862330280970635,inconclusive,BG00037,strict
both_flexible_vs_baseline,10,2.7397260273953616e-05,0.0,5.4794520547973843e-05,inconclusive,7.853552368930483e-07,-3.953191037462389e-05,4.3539417944910286e-05,inconclusive,BG00038,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00038,strict
both_flexible_vs_horizon_only,10,2.7397260273953616e-05,0.0,5.4794520547973843e-05,inconclusive,7.853552368930483e-07,-4.020388690414087e-05,4.638211375268491e-05,inconclusive,BG00038,strict
both_flexible_vs_baseline,10,0.046178082191779615,0.04368493150684798,0.04876712328767,supported,0.01223001094895051,0.007520472114956855,0.017355306834884995,supported,BG00039,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00039,strict
both_flexible_vs_horizon_only,10,0.046178082191779615,0.04360273972602633,0.04858904109588912,supported,0.01223001094895051,0.007603105990284638,0.017275108753287655,supported,BG00039,strict
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00040,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00040,strict
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00040,strict
both_flexible_vs_baseline,10,-0.014361643835616566,-0.017770136986301654,-0.011029726027397364,contradicted,0.0061093247446389,0.002498041648926103,0.009785899638039901,supported,BG00041,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00041,strict
both_flexible_vs_horizon_only,10,-0.014361643835616566,-0.017814383561644068,-0.01085986301369876,contradicted,0.0061093247446389,0.0025015097716246473,0.009950357539720485,supported,BG00041,strict
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00042,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00042,strict
