class1_low_balk,class_id,mean,std,n,se,ci95,metric
0.0,2,5923.64,91.29002733546027,100,9.129002733546027,17.892845357750215,canceled
0.05,1,5802.61,78.92803204454192,100,7.892803204454192,15.469894280730216,canceled
0.05,2,5876.99,78.24004696761718,100,7.824004696761717,15.335049205652965,canceled
0.1,1,5696.08,89.8748490115477,100,8.987484901154769,17.615470406263345,canceled
0.1,2,5888.33,75.33655865983694,100,7.533655865983694,14.76596549732804,canceled
0.15,1,5582.34,79.91387030213623,100,7.991387030213623,15.6631185792187,canceled
0.15,2,5846.95,79.13935733115277,100,7.913935733115276,15.511314036905942,canceled
0.2,1,5456.83,72.35979895667573,100,7.235979895667573,14.182520595508443,canceled
0.2,2,5839.48,79.29238566370928,100,7.929238566370929,15.541307590087019,canceled
0.25,1,5333.65,72.96870437510742,100,7.2968704375107425,14.301866057521055,canceled
0.25,2,5838.11,77.43487260239735,100,7.743487260239735,15.17723503006988,canceled
0.3,1,5200.74,74.23095545306391,100,7.423095545306391,14.549267268800527,canceled
0.3,2,5833.62,76.21656809726662,100,7.6216568097266615,14.938447347064256,canceled
0.35,1,5072.03,77.15607362333633,100,7.715607362333633,15.12259043017392,canceled
0.35,2,5829.45,73.1495458673947,100,7.3149545867394705,14.337310990009362,canceled
0.4,1,4910.11,71.21143578006681,100,7.121143578006681,13.957441412893093,canceled
0.4,2,5856.4,71.26363062955062,100,7.126363062955062,13.96767160339192,canceled
0.45,1,4769.28,68.78396571435755,100,6.878396571435755,13.48165728001408,canceled
0.45,2,5900.45,79.8888590354112,100,7.98888590354112,15.658216370940595,canceled
0.5,1,4579.36,68.29060304790455,100,6.829060304790455,13.384958197389292,canceled
0.5,2,5964.63,71.17508005054879,100,7.117508005054878,13.95031568990756,canceled
0.0,1,926.23,27.466363266932728,100,2.746636326693273,5.383407200318815,no_show
0.0,2,926.89,26.544757324453762,100,2.654475732445376,5.202772435592937,no_show
0.05,1,917.28,30.061243883751455,100,3.0061243883751456,5.892003801215285,no_show
0.05,2,936.22,29.28390463560265,100,2.928390463560265,5.73964530857812,no_show
0.1,1,918.37,27.64919309469769,100,2.764919309469769,5.419241846560746,no_show
0.1,2,938.99,31.111885091382575,100,3.1111885091382576,6.097929477910985,no_show
0.15,1,910.7,27.013090728516627,100,2.7013090728516627,5.294565782789259,no_show
0.15,2,951.11,29.570970955183785,100,2.9570970955183786,5.795910307216022,no_show
0.2,1,899.26,26.57811813572141,100,2.657811813572141,5.209311154601396,no_show
0.2,2,959.13,30.496780754099877,100,3.0496780754099877,5.977369027803576,no_show
0.25,1,891.07,27.748238637339615,100,2.7748238637339613,5.438654772918564,no_show
0.25,2,967.63,31.49656226230784,100,3.149656226230784,6.173326203412337,no_show
0.3,1,881.71,27.243865030831845,100,2.7243865030831844,5.339797546043042,no_show
0.3,2,976.21,31.17150181259361,100,3.117150181259361,6.109614355268348,no_show
0.35,1,873.81,30.858325661420167,100,3.0858325661420167,6.048231829638353,no_show
0.35,2,987.33,29.334729649962064,100,2.9334729649962066,5.749607011392564,no_show
0.4,1,855.43,29.105261768729434,100,2.9105261768729433,5.704631306670969,no_show
0.4,2,1004.74,31.645645335288553,100,3.1645645335288553,6.202546485716556,no_show
0.45,1,836.88,26.28794707876903,100,2.628794707876903,5.152437627438729,no_show
0.45,2,1024.42,29.21020300504533,100,2.9210203005045328,5.725199788988884,no_show
0.5,1,814.77,25.92797132383669,100,2.592797132383669,5.081882379471991,no_show
0.5,2,1043.19,29.527831418558844,100,2.9527831418558845,5.787454958037533,no_show
0.0,1,4913.96,49.87923192850681,100,4.9879231928506815,9.776329457987336,served
0.0,2,4900.22,48.61175399286287,100,4.861175399286287,9.527903782601122,served
0.05,1,4815.3,56.20839651140955,100,5.6208396511409555,11.016845716236272,served
0.05,2,5000.95,55.09997800142547,100,5.509997800142547,10.799595688279393,served
0.1,1,4736.19,50.093789812488566,100,5.009378981248856,9.818382803247758,served
0.1,2,5079.01,50.799167852883976,100,5.079916785288398,9.95663689916526,served
0.15,1,4646.46,48.90527227779904,100,4.890527227779904,9.585433366448612,served
0.15,2,5163.55,54.93308601738985,100,5.493308601738985,10.76688485940841,served
0.2,1,4535.94,58.85246405421398,100,5.885246405421398,11.53508295462594,served
0.2,2,5279.19,54.711307530684806,100,5.471130753068481,10.723416276014223,served
0.25,1,4435.11,42.77776610258272,100,4.277776610258272,8.384442156106212,served
0.25,2,5380.49,48.90260264499771,100,4.890260264499771,9.58491011841955,served
0.3,1,4314.36,50.63346599619531,100,5.063346599619531,9.92415933525428,served
0.3,2,5503.03,55.77723640527662,100,5.577723640527662,10.932338335434217,served
0.35,1,4179.91,54.92457546398519,100,5.492457546398519,10.765216790941098,served
0.35,2,5636.37,56.94275966958287,100,5.694275966958287,11.160780895238242,served
0.4,1,4043.25,56.38707764419547,100,5.638707764419547,11.051867218262313,served
0.4,2,5772.14,60.091011781877164,100,6.009101178187716,11.777838309247924,served
0.45,1,3904.1,52.919702847757506,100,5.291970284775751,10.372261758160471,served
0.45,2,5913.22,55.227642763859784,100,5.5227642763859786,10.824617981716518,served
0.5,1,3734.3,51.25072061577634,100,5.125072061577634,10.045141240692162,served
0.5,2,6084.95,55.17911605385582,100,5.517911605385582,10.815106746555742,served
