class1_balk_threshold,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
3,17,2,18112,12525,5587,18112,0,6038,1010,5477,7.6651497005988025,8.472007508833922,0.30239620141342755,0.46892123287671234,0.3084695229681979,96006.0,153445.0
3,18,1,18205,9910,8295,18205,0,4790,850,4269,7.858224016145308,8.450700357044768,0.23449601757758856,0.36549657534246577,0.455644053831365,77875.0,153845.0
3,18,2,18300,12663,5637,18300,0,6099,1013,5548,7.641317223406776,8.445245901639344,0.3031693989071038,0.475,0.3080327868852459,96762.0,154548.0
3,19,1,18261,10027,8234,18261,0,4914,794,4310,8.016056647052958,8.587207710421117,0.23602212365149772,0.3690068493150685,0.4509063030502163,80377.0,156811.0
3,19,2,18532,12629,5903,18532,0,6038,1058,5524,7.748436139045055,8.59907187567451,0.2980789984890999,0.47294520547945207,0.3185301100798619,97855.0,159358.0
3,20,1,18201,9942,8259,18201,0,4830,842,4270,7.987326493663247,8.565243667930334,0.2346024943684413,0.3655821917808219,0.45376627657821,79410.0,155896.0
3,20,2,18299,12486,5813,18299,0,5909,1020,5557,7.753563991670672,8.568173124214438,0.30367779660090716,0.47577054794520546,0.3176676321110443,96811.0,156789.0
3,21,1,18270,9984,8286,18270,0,4851,855,4278,7.964342948717949,8.55303776683087,0.2341543513957307,0.36626712328767125,0.4535303776683087,79516.0,156264.0
3,21,2,18338,12535,5803,18338,0,6015,1077,5443,7.739130434782608,8.574381066637583,0.2968153560911768,0.46601027397260275,0.31644672265241575,97010.0,157237.0
3,22,1,18311,9908,8403,18311,0,4903,826,4179,7.916229309648768,8.476489541805472,0.2282234722298072,0.35779109589041097,0.45890448364371145,78434.0,155213.0
3,22,2,18420,12647,5773,18420,0,5979,999,5669,7.610342373685459,8.445494028230184,0.30776330076004343,0.4853595890410959,0.31340933767643864,96248.0,155566.0
