class1_balk_threshold,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
3,26,0.8379280821917808,0.26853756892436836,9789,10930.0,7.7885565554967355,8.499492497188161,0.3781581762817875,36453,22668,36453,13785,0,10978,1898,3
3,27,0.8404109589041096,0.2666938442723196,9813,10925.0,7.9779821381200815,8.712787063459709,0.3852969153417584,36795,22618,36795,14177,0,10932,1872,1
3,28,0.842208904109589,0.268743515535412,9843,10980.0,7.795096166659263,8.520204226505761,0.38532736307541093,36626,22513,36626,14113,0,10828,1835,7
3,29,0.8455479452054795,0.27061629564645245,9871,11017.0,7.79633166052316,8.520232481631759,0.3826899879372738,36476,22517,36476,13959,0,10848,1798,0
3,30,0.8344178082191781,0.26639321848509706,9742,10882.0,7.918134623064295,8.629751162154772,0.38372983319660925,36570,22537,36570,14033,0,10863,1925,7
3,31,0.8451198630136987,0.27126620249332634,9857,11007.0,7.867567928136257,8.579602058507858,0.38115419544816576,36337,22487,36337,13850,0,10818,1811,1
3,32,0.8388698630136986,0.27136332179930794,9803,10943.0,7.780179300550328,8.480692041522492,0.37627681660899653,36125,22532,36125,13593,0,10845,1877,7
3,33,0.8454623287671232,0.27034637360234015,9889,11015.0,7.826071539382119,8.540911451925968,0.3832253478771973,36579,22561,36579,14018,0,10876,1796,0
3,34,0.8363869863013699,0.2662557276892865,9762,10900.0,7.942840620968818,8.656884137028147,0.38683722452542,36664,22481,36664,14183,0,10803,1916,0
3,35,0.8415239726027397,0.2700293480347788,9845,10929.0,7.823552929678824,8.54439233111166,0.3825667187799994,36459,22511,36459,13948,0,10819,1845,2
3,36,0.8416095890410958,0.2712028022175028,9833,10944.0,7.738404452690167,8.441156190528725,0.37562401743111673,36257,22638,36257,13619,0,10948,1851,6
3,37,0.8445205479452055,0.27089281792224906,9867,10995.0,7.79735193495357,8.510432681748298,0.38208324181858117,36424,22507,36424,13917,0,10810,1823,7
3,38,0.8424657534246576,0.26882396348629367,9836,10959.0,7.845214301576727,8.567137664325344,0.38465112465495094,36589,22515,36589,14074,0,10831,1845,3
3,39,0.8406678082191781,0.2691737578918474,9806,10939.0,7.848720800889877,8.581251715618995,0.38306340927806753,36430,22475,36430,13955,0,10807,1862,0
3,40,0.8374143835616439,0.26885731526688245,9802,10895.0,7.848275246552724,8.556750233144989,0.38534752317735477,36458,22409,36458,14049,0,10713,1886,8
3,41,0.842722602739726,0.26938552073354316,9842,10983.0,7.784071190211346,8.500095798549337,0.38483645819077594,36535,22475,36535,14060,0,10799,1828,6
3,42,0.836986301369863,0.2657791060997147,9782,10903.0,7.967153123759975,8.706615948919984,0.3837522075804918,36805,22681,36805,14124,0,10991,1895,13
3,43,0.8429794520547945,0.27057918452577207,9848,10975.0,7.768513171338457,8.490108803165183,0.3814979668095395,36396,22511,36396,13885,0,10838,1823,2
3,44,0.8456335616438356,0.269546707420244,9877,11012.0,7.849071582940061,8.554730780776683,0.38124607701334495,36643,22673,36643,13970,0,10993,1802,1
3,45,0.8379280821917808,0.26677385948656457,9789,10926.0,7.873604465709729,8.608628113588052,0.38485855998255847,36694,22572,36694,14122,0,10895,1883,5
3,46,0.8389554794520548,0.2671032883067267,9788,10934.0,7.929828420589529,8.658125255832992,0.3797243825897121,36645,22730,36645,13915,0,11068,1871,3
3,47,0.8476883561643835,0.2698109604735536,9891,11015.0,7.835262532458959,8.583294688889495,0.3802067705065605,36659,22721,36659,13938,0,11057,1773,0
3,48,0.8410958904109589,0.27091963545981773,9810,10959.0,7.7878000716589035,8.502347417840376,0.38337475835404583,36210,22328,36210,13882,0,10653,1864,1
3,49,0.8365582191780822,0.2662482946793997,9758,10901.0,7.789480680609713,8.506466575716235,0.38422919508867664,36650,22568,36650,14082,0,10891,1916,3
3,50,0.8429794520547945,0.2694553329130232,9830,10977.0,7.862180052956752,8.572078616266001,0.37885474630629645,36481,22660,36481,13821,0,10984,1843,3
3,51,0.8392123287671233,0.26934270495854157,9810,10915.0,7.917215760845531,8.634122233814727,0.3791389819339959,36422,22613,36422,13809,0,10927,1869,7
3,52,0.8373287671232876,0.2686403207645621,9782,10908.0,7.8046760187040745,8.527723615192377,0.38332463680553647,36413,22455,36413,13958,0,10767,1904,2
3,53,0.8382705479452055,0.2666484865012272,9778,10912.0,7.95917554955991,8.674884101445324,0.38344695936733025,36670,22609,36670,14061,0,10931,1891,9
3,54,0.8420376712328768,0.2672282608695652,9834,10956.0,7.936283185840708,8.679320652173914,0.3858695652173913,36800,22600,36800,14200,0,10922,1844,0
3,55,0.8434075342465753,0.2666122671018632,9802,10953.0,7.894448615466149,8.637889296885625,0.3841153270773834,36765,22643,36765,14122,0,10982,1855,4
3,56,0.8422945205479452,0.27180678894514065,9825,10979.0,7.704219050601763,8.414003928403464,0.38166376186128864,36147,22351,36147,13796,0,10686,1839,1
3,57,0.8441780821917808,0.2683936694723652,9853,10995.0,7.876627101442881,8.598567186946692,0.3826645964424832,36711,22663,36711,14048,0,10982,1822,6
3,58,0.8359589041095891,0.26660841547661307,9764,10883.0,7.852330574122438,8.583895366299867,0.38314720257761514,36623,22591,36623,14032,0,10902,1917,8
3,59,0.8370719178082192,0.2676633777024626,9793,10905.0,7.7927072705496165,8.508131303468446,0.38385218793560555,36587,22543,36587,14044,0,10849,1899,2
