class1_balk_threshold,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced
3,57,1,18528,10280,8248,18528,0,5078,862,4339,8.016050583657588,8.58306347150259,0.23418609671848015
3,57,2,18183,12383,5800,18183,0,5904,960,5514,7.760881854154889,8.614365066270693,0.30325028873123244
3,58,1,18325,10118,8207,18325,0,4893,860,4361,7.996837319628385,8.58406548431105,0.23798090040927694
3,58,2,18298,12473,5825,18298,0,6009,1057,5403,7.735107832919105,8.583724997267462,0.2952781724778664
3,59,1,18372,10096,8276,18372,0,4884,868,4343,7.919374009508716,8.49678859133464,0.2363923361637274
3,59,2,18215,12447,5768,18215,0,5965,1031,5450,7.689965453522937,8.519571781498765,0.29920395278616524
3,60,1,18326,10194,8132,18326,0,5030,837,4325,8.058171473415735,8.611644657863145,0.2360034923060133
3,60,2,18137,12393,5744,18137,0,5863,1013,5515,7.723553618978456,8.573137784639135,0.3040745437503446
3,61,1,18183,10052,8131,18183,0,4973,809,4266,8.018304814962196,8.577077489963152,0.23461475004124732
3,61,2,18409,12640,5769,18409,0,6052,1026,5561,7.76123417721519,8.597859742517247,0.3020805041012548
3,62,1,18202,9901,8301,18202,0,4770,820,4311,7.902939097060903,8.497802439292386,0.23684210526315788
3,62,2,18201,12536,5665,18201,0,6003,1028,5504,7.685067007019783,8.497994615680458,0.30240096697983626
3,63,1,18291,10141,8150,18291,0,5007,837,4295,8.028794004536042,8.578754578754578,0.23481493630747363
3,63,2,18310,12452,5858,18310,0,5891,1018,5543,7.719402505621587,8.575150191152376,0.30273074822501367
3,64,1,18298,10003,8295,18298,0,4815,830,4353,7.947215835249425,8.53344627828178,0.23789485189638213
3,64,2,18290,12455,5835,18290,0,5952,989,5510,7.720674427940586,8.54909786768726,0.30125751776927284
3,65,1,18253,9998,8255,18253,0,4847,817,4331,7.886477295459092,8.474278200843697,0.23727606420862324
3,65,2,18105,12394,5711,18105,0,5860,1023,5511,7.720348555752784,8.538138635735985,0.3043910521955261
3,66,1,18305,10044,8261,18305,0,4911,863,4266,8.004778972520908,8.55897295820814,0.2330510789401803
3,66,2,18122,12507,5615,18122,0,5963,1045,5498,7.721116174942033,8.545414413420152,0.303388147003642
3,67,1,18161,9943,8218,18161,0,4784,851,4308,7.836266720305742,8.399977974781125,0.23721160729034746
3,67,2,17880,12425,5455,17880,0,5883,1047,5495,7.619879275653924,8.420805369127518,0.30732662192393734
3,68,1,18177,9892,8285,18177,0,4702,864,4326,7.836029114435908,8.432964735654949,0.2379930681630632
3,68,2,17904,12296,5608,17904,0,5800,1038,5458,7.622234873129473,8.430518319928508,0.3048480786416443
3,69,1,18289,10048,8241,18289,0,4833,892,4319,7.982683121019108,8.550822899010335,0.2361528787795943
3,69,2,18148,12425,5723,18148,0,5939,997,5485,7.720321931589537,8.552347366100948,0.30223716111968263
3,70,1,18104,10054,8050,18104,0,4858,852,4343,7.942609906504874,8.514140521431727,0.23989173663278834
3,70,2,18397,12613,5784,18397,0,6137,1014,5459,7.676603504320939,8.51888894928521,0.29673316301570907
3,71,1,18207,9968,8239,18207,0,4811,894,4260,7.943318619582665,8.537595430328995,0.23397594331850388
3,71,2,18240,12536,5704,18240,0,6024,1080,5430,7.744017230376516,8.558826754385965,0.29769736842105265
3,72,1,18269,10062,8207,18269,0,4852,807,4403,7.856191612005565,8.448628824785155,0.24100936011823307
3,72,2,18130,12426,5704,18130,0,5938,1040,5448,7.6467085144052795,8.469167126309983,0.3004964147821291
3,73,1,18457,10048,8409,18457,0,4872,844,4330,7.877886146496815,8.451319282656987,0.23459933900417185
3,73,2,18175,12404,5771,18175,0,5889,1006,5507,7.698161883263463,8.529133425034388,0.3029986244841816
3,74,1,18295,10086,8209,18295,0,4959,831,4296,7.878742811818362,8.469581852965291,0.23481825635419515
