class1_high_balk,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced
0.0,98,1,18079,15258,0,15258,2821,8692,1209,5339,9.948617118888452,9.948617118888452,0.2953150063609713
0.0,98,2,18314,10385,5072,15457,2857,5279,711,4386,8.731535869041886,9.982079316814389,0.23948891558370644
0.0,99,1,18185,15236,0,15236,2949,8635,1179,5401,9.940535573641375,9.940535573641375,0.29700302447071764
0.0,99,2,18277,10292,5051,15343,2934,5215,710,4353,8.723668869024484,9.988268265658606,0.23816818952782184
0.0,100,1,18333,15322,0,15322,3011,8739,1135,5432,9.9370186659705,9.9370186659705,0.2962962962962963
0.0,100,2,18269,10283,5053,15336,2933,5188,725,4364,8.658173684722357,9.928794992175273,0.23887459631069025
0.1,1,1,18364,15054,1087,16141,2223,8544,1134,5356,9.931978211770957,10.11077380583607,0.2916575909387933
0.1,1,2,18222,10439,5434,15873,2349,5272,697,4461,8.752179327521793,10.057960057960058,0.24481396114586762
0.1,2,1,18017,14898,1070,15968,2049,8507,1061,5311,9.83816619680494,10.01315130260521,0.2947771549092524
0.1,2,2,18424,10845,5413,16258,2166,5564,742,4529,8.793360995850623,10.031184647558126,0.24582066869300911
0.1,3,1,18078,14986,1024,16010,2068,8475,1134,5351,9.89143200320299,10.05627732667083,0.29599513220488993
0.1,3,2,18277,10650,5453,16103,2174,5487,749,4405,8.792206572769953,10.042538657393033,0.2410132953985884
0.1,4,1,18480,15183,1084,16267,2213,8638,1143,5380,9.832773496673912,10.011925985123256,0.2911255411255411
0.1,4,2,18174,10635,5288,15923,2251,5519,692,4416,8.843253408556652,10.062927840231112,0.24298448332783096
0.1,5,1,18450,15087,1050,16137,2313,8544,1107,5412,9.90846424073706,10.080002478775485,0.29333333333333333
0.1,5,2,18197,10646,5335,15981,2216,5482,717,4434,8.749013714071012,10.009010700206495,0.24366653844040226
0.1,6,1,18047,14882,1069,15951,2096,8432,1192,5241,9.89000134390539,10.064823522036235,0.2904083781237879
0.1,6,2,18300,10696,5333,16029,2271,5450,748,4486,8.721017202692595,9.98109676211866,0.24513661202185794
0.1,7,1,18000,14860,1055,15915,2085,8362,1105,5369,9.874764468371467,10.050267043669495,0.29827777777777775
0.1,7,2,18311,10670,5446,16116,2195,5467,780,4408,8.912464854732896,10.125775626706378,0.24072961607776747
0.1,8,1,18218,14774,1056,15830,2388,8272,1143,5338,9.923852714227698,10.093367024636766,0.293006916236689
0.1,8,2,18420,10564,5363,15927,2493,5360,736,4458,8.822889057175312,10.067997739687323,0.24201954397394138
0.1,9,1,18160,14885,1140,16025,2135,8474,1172,5225,9.902384951293248,10.089797191887676,0.2877202643171806
0.1,9,2,18273,10774,5411,16185,2088,5509,762,4494,8.766567662892149,10.022922459067038,0.2459366278115252
0.1,10,1,18319,15056,1118,16174,2145,8529,1094,5417,9.834750265674813,10.0213923581056,0.2957039139691031
0.1,10,2,18190,10614,5450,16064,2126,5445,706,4449,8.84143583945732,10.080366035856574,0.2445849367784497
0.1,11,1,18079,14803,1056,15859,2220,8340,1130,5311,9.92373167601162,10.095718519452676,0.2937662481331932
0.1,11,2,18448,10634,5594,16228,2220,5431,738,4453,8.80947902952793,10.089598225289622,0.24138117953165655
0.1,12,1,18355,15003,1107,16110,2245,8527,1137,5313,9.855095647537158,10.037430167597766,0.2894579133751021
0.1,12,2,18422,10690,5465,16155,2267,5497,711,4469,8.864826941066417,10.08826988548437,0.2425903810661166
0.1,13,1,18291,14970,1074,16044,2247,8493,1139,5315,9.896793587174349,10.071740214410372,0.2905800666994697
0.1,13,2,18385,10760,5389,16149,2236,5563,727,4460,8.777230483271376,10.025574338968358,0.2425890671743269
0.1,14,1,18200,15073,1041,16114,2086,8539,1134,5383,9.881509984740928,10.050453022216706,0.2957692307692308
0.1,14,2,18086,10610,5328,15938,2148,5449,773,4378,8.795852968897266,10.036265528924583,0.24206568616609533
0.1,15,1,18429,15082,1102,16184,2245,8594,1147,5316,9.87773504840207,10.055301532377657,0.2884584079440013
0.1,15,2,18290,10636,5407,16043,2247,5446,759,4418,8.78412937194434,10.049491990276133,0.24155276107162385
0.1,16,1,18165,14793,1059,15852,2313,8403,1175,5193,9.92949367944298,10.103835478173101,0.28587943848059455
0.1,16,2,18483,10777,5305,16082,2401,5494,747,4522,8.821100491788068,10.040604402437507,0.24465725261050694
0.1,17,1,18329,15089,1092,16181,2148,8625,1142,5292,9.850089469149712,10.027439589642173,0.28872278902285997
0.1,17,2,18192,10744,5374,16118,2074,5521,710,4506,8.768894266567386,10.012532572279438,0.24769129287598945
