background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h3_thresholds,noshow_high_low_focal,noshow_high_high_focal,n_exposed_thresholds,failure_component,classification,lowest_exposed_threshold,highest_exposed_threshold,n_gradient_paired_seeds,lowest_threshold_delta_utilization,highest_threshold_delta_utilization,low_minus_high_utilization_loss,low_minus_high_utilization_loss_ci_low,low_minus_high_utilization_loss_ci_high,spearman_threshold_vs_loss_magnitude,utilization_direction_component,threshold_gradient_component
H3B0064,S032,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,0,6,0.0,0.0,0.0,0.1,4;6;9;12,0.0,0.7,2,,supported,4.0,6.0,20.0,-0.4886943493150685,-0.40109589041095894,0.08759845890410962,0.08308990424408397,0.09210701356413528,-0.9999999999999999,supported,supported
H3B0065,S033,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,0,4,0.5,0.5,0.5,0.5,4,0.5,0.7,0,fewer_than_two_valid_thresholds,inactive,,,,,,,,,,,
H3B0066,S034,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,21,21,0.1,0.1,9,9,0.5,0.5,0.5,0.5,0,12,0.0,0.0,0.0,0.5,4;6;9;12,0.0,0.7,0,insufficient_realized_post_threshold_exposure,inactive,,,,,,,,,,,
H3B0067,S035,sobol_symmetric,1.25,0.3,32,40.0,12.0,28.0,14,14,0.0,0.0,12,12,0.0,0.0,0.5,0.5,0,9,0.0,0.0,0.0,0.0,4;6;9;12,0.0,0.7,4,,supported,4.0,12.0,20.0,-0.20994006849315067,-0.047825342465753436,0.16211472602739727,0.15983386163114488,0.16439559042364965,-1.0,supported,supported
H3B0068,S036,sobol_symmetric,4.0,0.7,32,128.0,89.6,38.400000000000006,28,28,0.3,0.3,4,4,0.1,0.1,0.5,0.5,0,4,0.3,0.3,0.3,0.5,4;6;9;12,0.3,0.7,1,insufficient_realized_post_threshold_exposure,inactive,,,,,,,,,,,
H3B0069,S037,sobol_symmetric,3.1,0.5,16,49.6,24.8,24.8,28,28,0.3,0.3,6,6,0.1,0.1,0.1,0.1,0,9,0.0,0.0,0.0,0.3,4;6;9;12,0.0,0.7,2,,supported,4.0,6.0,20.0,-0.08367294520547944,-0.030881849315068495,0.05279109589041094,0.05162537815548769,0.05395681362533419,-0.9999999999999999,supported,supported
H3B0070,S038,sobol_symmetric,1.25,0.5,64,80.0,40.0,40.0,14,14,0.0,0.0,9,9,0.3,0.3,0.3,0.3,0,4,0.3,0.3,0.3,0.7,4;6;9;12,0.3,0.7,0,insufficient_realized_post_threshold_exposure,inactive,,,,,,,,,,,
H3B0071,S039,sobol_symmetric,0.8,0.1,16,12.8,1.2800000000000002,11.52,21,21,0.1,0.1,12,12,0.0,0.0,0.3,0.3,0,6,0.7,0.7,0.7,0.7,4;6;9;12,0.7,0.7,0,no_valid_post_threshold_increase,inactive,,,,,,,,,,,
H3B0072,S040,sobol_symmetric,2.0,0.9,32,64.0,57.6,6.399999999999999,7,7,0.5,0.5,4,4,0.5,0.5,0.7,0.7,0,4,0.0,0.0,0.0,0.7,4,0.0,0.7,0,fewer_than_two_valid_thresholds,inactive,,,,,,,,,,,
H3B0073,S041,sobol_symmetric,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,4,4,0.1,0.1,0.3,0.3,0,9,0.0,0.0,0.0,0.1,4;6;9;12,0.0,0.7,2,,supported,4.0,6.0,20.0,-0.13616438356164387,-0.023741438356164386,0.11242294520547949,0.1087674250255224,0.11607846538543658,-0.9999999999999999,supported,supported
H3B0074,S042,sobol_symmetric,0.8,0.7,64,51.2,35.84,15.360000000000005,28,28,0.5,0.5,12,12,0.3,0.3,0.5,0.5,0,4,0.5,0.5,0.5,0.5,4;6;9;12,0.5,0.7,0,insufficient_realized_post_threshold_exposure,inactive,,,,,,,,,,,
H3B0075,S043,sobol_symmetric,1.25,0.3,16,20.0,6.0,14.0,7,7,0.3,0.3,4,4,0.0,0.0,0.5,0.5,0,4,0.5,0.5,0.5,0.7,4,0.5,0.7,0,fewer_than_two_valid_thresholds,inactive,,,,,,,,,,,
H3B0076,S044,sobol_symmetric,4.0,0.7,64,256.0,179.2,76.80000000000001,21,21,0.0,0.0,6,6,0.7,0.7,0.7,0.7,0,12,0.3,0.3,0.3,0.3,4;6;9;12,0.3,0.7,4,,supported,4.0,12.0,20.0,-0.28008133561643833,-0.24379922945205484,0.03628210616438358,0.03436569750597879,0.03819851482278837,-1.0,supported,supported
