background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,noshow_high_low_focal,noshow_high_high_focal,noshow_threshold_class1_focal,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,utilization_loss_magnitude,delta_realized_class1_noshow_rate,delta_realized_class1_noshow_rate_ci_low,delta_realized_class1_noshow_rate_ci_high,realized_exposure_active,direction_component
H3B0208,S176,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,14,14,0.3,0.3,9,9,0.0,0.0,0.0,0.0,0,4,0.3,0.3,0.3,0.5,0.3,0.7,4,20,-0.08728595890410959,-0.08838757917706844,-0.08618433863115074,0.08728595890410959,0.03119234574486256,0.030774887772003677,0.031609803717721444,True,supported
H3B0208,S176,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,14,14,0.3,0.3,9,9,0.0,0.0,0.0,0.0,0,4,0.3,0.3,0.3,0.5,0.3,0.7,6,20,-0.0421275684931507,-0.04321046409595204,-0.041044672890349354,0.0421275684931507,0.015059309044681165,0.014661205355154205,0.015457412734208125,True,supported
H3B0208,S176,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,14,14,0.3,0.3,9,9,0.0,0.0,0.0,0.0,0,4,0.3,0.3,0.3,0.5,0.3,0.7,9,20,-0.000132705479452061,-0.00019153110193827932,-7.387985696584268e-05,0.000132705479452061,4.9035789572332565e-05,2.809171565158843e-05,6.99798634930767e-05,False,inconclusive
H3B0208,S176,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,14,14,0.3,0.3,9,9,0.0,0.0,0.0,0.0,0,4,0.3,0.3,0.3,0.5,0.3,0.7,12,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0209,S177,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,0,9,0.3,0.3,0.3,0.7,0.3,0.7,4,20,-0.019362157534246572,-0.01980206573768382,-0.018922249330809323,0.019362157534246572,0.06205048348900757,0.060674377372855186,0.06342658960515994,True,supported
H3B0209,S177,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,0,9,0.3,0.3,0.3,0.7,0.3,0.7,6,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0209,S177,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,0,9,0.3,0.3,0.3,0.7,0.3,0.7,9,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0209,S177,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,0,9,0.3,0.3,0.3,0.7,0.3,0.7,12,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0211,S179,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,28,28,0.3,0.3,9,9,0.0,0.0,0.1,0.1,0,6,0.0,0.0,0.0,0.7,0.0,0.7,4,20,-0.02944563356164383,-0.030800420071648814,-0.028090847051638848,0.02944563356164383,0.029461885932398818,0.028142690993625288,0.03078108087117235,True,supported
H3B0211,S179,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,28,28,0.3,0.3,9,9,0.0,0.0,0.1,0.1,0,6,0.0,0.0,0.0,0.7,0.0,0.7,6,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0211,S179,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,28,28,0.3,0.3,9,9,0.0,0.0,0.1,0.1,0,6,0.0,0.0,0.0,0.7,0.0,0.7,9,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0211,S179,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,28,28,0.3,0.3,9,9,0.0,0.0,0.1,0.1,0,6,0.0,0.0,0.0,0.7,0.0,0.7,12,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0213,S181,sobol_symmetric,4.0,0.3,16,64.0,19.2,44.8,14,14,0.0,0.0,4,4,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.5,0.0,0.7,4,20,-0.20987157534246575,-0.21219296725997386,-0.20755018342495765,0.20987157534246575,0.17342167780290615,0.17171677198470173,0.17512658362111058,True,supported
H3B0213,S181,sobol_symmetric,4.0,0.3,16,64.0,19.2,44.8,14,14,0.0,0.0,4,4,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.5,0.0,0.7,6,20,-0.20987157534246575,-0.21219296725997386,-0.20755018342495765,0.20987157534246575,0.17342167780290615,0.17171677198470173,0.17512658362111058,True,supported
