sweep,point,low,high,step,label,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
fixed_step,1,0.0,0.3,0.3,b₁=0.30,36,2,18218,11530,6176,17706,512,6008,821,4692,8.923937554206418,10.114819835084152,0.25754748051377757,0.40171232876712326,0.3488083135660228,102893.0,179093.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,37,1,18028,14002,3531,17533,495,7730,1053,5199,9.54135123553778,10.106142702332743,0.28838473485688926,0.44511986301369866,0.20139166143843037,133598.0,177191.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,37,2,18197,11390,6286,17676,521,5971,807,4598,8.900877963125549,10.119257750622312,0.2526790130241249,0.39366438356164385,0.3556234442181489,101381.0,178868.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,38,1,18129,13874,3653,17527,602,7692,1043,5121,9.573158425832492,10.14463399326753,0.2824755915935793,0.4384417808219178,0.2084212928624408,132818.0,177805.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,38,2,18342,11481,6284,17765,577,5986,831,4655,8.959672502395263,10.150689558119899,0.2537891178715516,0.3985445205479452,0.3537292428933296,102866.0,180327.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,39,1,18342,14024,3655,17679,663,7849,1016,5142,9.642541357672561,10.203405169975678,0.2803402028132156,0.44023972602739725,0.2067424628089824,135227.0,180386.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,39,2,18186,11385,6160,17545,641,5900,790,4688,8.891787439613527,10.109261897976632,0.25778071043659956,0.40136986301369865,0.3510971786833856,101233.0,177367.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,40,1,18334,13965,3611,17576,758,7661,1019,5270,9.604654493376298,10.17705962676377,0.28744409294207485,0.4511986301369863,0.20545061447428312,134129.0,178872.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,40,2,18210,11300,6117,17417,793,5922,807,4556,8.995840707964602,10.183154389389676,0.2501922020867655,0.3900684931506849,0.3512085893092955,101653.0,177360.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,41,1,18048,13851,3701,17552,496,7744,1096,4995,9.570789112699444,10.142832725615314,0.2767619680851064,0.4276541095890411,0.210859161349134,132565.0,178027.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,41,2,18225,11554,6195,17749,476,5966,831,4744,8.906439328371127,10.087103498788665,0.26030178326474623,0.40616438356164386,0.3490337483801904,102905.0,179036.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,42,1,18204,13937,3622,17559,645,7718,1049,5152,9.623520126282557,10.183381741557037,0.28301472203911227,0.4410958904109589,0.2062759838259582,134123.0,178810.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,42,2,18185,11417,6146,17563,622,5947,812,4648,9.002452483139178,10.178614131982007,0.2555952708276052,0.39794520547945206,0.3499402152251893,102781.0,178767.0
