background_id,source_scenario_ids,scenario_type,target_loss_share,balk_probability,noshow_probability,estimated_balk_loss_share,estimated_noshow_loss_share,estimated_match_gap,balk_target_error,noshow_target_error,balk_attainable,noshow_attainable,calibration_valid,n_calibration_seeds,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2
H2B0016,A016,anchor,0.05,0.05,0.05,0.04944725335311873,0.05138457414601864,0.0019373207928999048,0.0005527466468812706,0.0013845741460186342,True,True,True,3,0.8,0.5,32,25.6,12.8,12.8,7,7,0.0,0.0,0,4,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0
H2B0016,A016,anchor,0.1,0.0984406452742057,0.1,0.0968315008028997,0.09916950095720937,0.002338000154309669,0.0031684991971002996,0.0008304990427906306,True,True,True,3,0.8,0.5,32,25.6,12.8,12.8,7,7,0.0,0.0,0,4,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0
H2B0016,A016,anchor,0.2,0.2010524893249371,0.1967457456538248,0.19809373605830716,0.19892445895072394,0.0008307228924167853,0.001906263941692854,0.0010755410492760686,True,True,True,3,0.8,0.5,32,25.6,12.8,12.8,7,7,0.0,0.0,0,4,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0
H2B0017,A017,anchor,0.05,0.05,0.05823413909713649,0.04881744269921658,0.05133970779895835,0.002522265099741766,0.0011825573007834198,0.0013397077989583464,True,True,True,3,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,0,6,0.0,0.1,0.0,0.1,0,9,0.0,0.0,0.0,0.1
H2B0017,A017,anchor,0.1,0.1,0.11646827819427298,0.10066480180194476,0.09988026466914202,0.0007845371328027428,0.0006648018019447532,0.0001197353308579896,True,True,True,3,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,0,6,0.0,0.1,0.0,0.1,0,9,0.0,0.0,0.0,0.1
H2B0017,A017,anchor,0.2,0.20059559870862428,0.2382947034886303,0.1971519255111448,0.20066856034679556,0.0035166348356507615,0.0028480744888552123,0.0006685603467955492,True,True,True,3,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,0,6,0.0,0.1,0.0,0.1,0,9,0.0,0.0,0.0,0.1
H2B0018,A018,anchor,0.05,0.05,0.09050567554352175,0.051098103198943534,0.05150003734306555,0.00040193414412201256,0.0010981031989435314,0.001500037343065544,True,True,True,3,2.0,0.7,16,32.0,22.4,9.6,28,28,0.5,0.5,0,12,0.0,0.3,0.0,0.3,0,12,0.0,0.3,0.0,0.3
H2B0018,A018,anchor,0.1,0.1,0.1810113510870435,0.10142283701021922,0.10164621730775958,0.0002233802975403626,0.0014228370102192106,0.0016462173077595732,True,True,True,3,2.0,0.7,16,32.0,22.4,9.6,28,28,0.5,0.5,0,12,0.0,0.3,0.0,0.3,0,12,0.0,0.3,0.0,0.3
H2B0018,A018,anchor,0.2,0.2,0.362022702174087,0.19704165588389552,0.20055832302992502,0.003516667146029495,0.0029583441161044888,0.0005583230299250064,True,True,True,3,2.0,0.7,16,32.0,22.4,9.6,28,28,0.5,0.5,0,12,0.0,0.3,0.0,0.3,0,12,0.0,0.3,0.0,0.3
H2B0019,A019,anchor,0.05,0.09580544438551648,0.10093600387510812,0.05223721642700824,0.04966380727738912,0.0025734091496191144,0.0022372164270082345,0.0003361927226108799,True,True,True,3,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,0,4,0.0,0.5,0.0,0.7,0,4,0.0,0.5,0.0,0.5
H2B0019,A019,anchor,0.1,0.16946644434906533,0.20187200775021624,0.0973084677299925,0.09900653871961691,0.0016980709896244062,0.002691532270007499,0.0009934612803830928,True,True,True,3,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,0,4,0.0,0.5,0.0,0.7,0,4,0.0,0.5,0.0,0.5
H2B0019,A019,anchor,0.2,0.2963062992798933,0.41178244514981716,0.19130566318504275,0.2001361646905968,0.008830501505554061,0.008694336814957265,0.00013616469059679615,True,True,True,3,3.1,0.5,32,99.2,49.6,49.6,14,14,0.0,0.0,0,4,0.0,0.5,0.0,0.7,0,4,0.0,0.5,0.0,0.5
H2B0020,A020,anchor,0.05,0.05,0.13052652333542727,0.051014425779423174,0.050350129364433865,0.0006642964149893085,0.0010144257794231712,0.00035012936443386267,True,True,True,3,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,0,6,0.0,0.7,0.0,0.7,0,6,0.0,0.7,0.0,0.7
H2B0020,A020,anchor,0.1,0.1,0.26105304667085455,0.09768870147171377,0.0995882899619387,0.0018995884902249377,0.0023112985282862375,0.0004117100380612998,True,True,True,3,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,0,6,0.0,0.7,0.0,0.7,0,6,0.0,0.7,0.0,0.7
H2B0020,A020,anchor,0.2,0.2,0.5221060933417091,0.20077142964172076,0.20118642572703535,0.00041499608531458954,0.00077142964172075,0.0011864257270353396,True,True,True,3,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,0,6,0.0,0.7,0.0,0.7,0,6,0.0,0.7,0.0,0.7
H2B0021,A021,anchor,0.05,0.05,0.05,0.05045916524789764,0.052180440815985406,0.0017212755680877656,0.0004591652478976374,0.002180440815985403,True,True,True,3,0.8,0.1,64,51.2,5.120000000000001,46.080000000000005,28,28,0.1,0.1,0,12,0.0,0.0,0.0,0.1,0,12,0.0,0.0,0.0,0.1
H2B0021,A021,anchor,0.1,0.1,0.09554088680686837,0.09997504669329442,0.10042213279531682,0.00044708610202240373,2.495330670558571e-05,0.000422132795316818,True,True,True,3,0.8,0.1,64,51.2,5.120000000000001,46.080000000000005,28,28,0.1,0.1,0,12,0.0,0.0,0.0,0.1,0,12,0.0,0.0,0.0,0.1
H2B0021,A021,anchor,0.2,0.19654805262972339,0.18986761441155522,0.20094149693650865,0.19899601432240255,0.0019454826141060977,0.0009414969365086345,0.0010039856775974632,True,True,True,3,0.8,0.1,64,51.2,5.120000000000001,46.080000000000005,28,28,0.1,0.1,0,12,0.0,0.0,0.0,0.1,0,12,0.0,0.0,0.0,0.1
H2B0022,A022,anchor,0.05,0.053624910015491925,0.18989863804546936,0.05202195847559008,0.05028732168072352,0.0017346367948665592,0.0020219584755900785,0.0002873216807235193,True,True,True,3,4.0,0.9,16,64.0,57.6,6.399999999999999,7,7,0.5,0.5,0,4,0.0,0.5,0.0,0.7,0,4,0.0,0.5,0.0,0.7
H2B0022,A022,anchor,0.1,0.10510760149969699,0.3797972760909387,0.10279641766469456,0.10050470694349224,0.0022917107212023224,0.0027964176646945588,0.0005047069434922363,True,True,True,3,4.0,0.9,16,64.0,57.6,6.399999999999999,7,7,0.5,0.5,0,4,0.0,0.5,0.0,0.7,0,4,0.0,0.5,0.0,0.7
H2B0022,A022,anchor,0.2,0.2,0.7595945521818774,0.1985282124882729,0.20013896524080754,0.0016107527525346388,0.0014717875117271073,0.00013896524080753148,True,True,True,3,4.0,0.9,16,64.0,57.6,6.399999999999999,7,7,0.5,0.5,0,4,0.0,0.5,0.0,0.7,0,4,0.0,0.5,0.0,0.7
H2B0023,A023,anchor,0.05,0.05,0.11431255062227452,0.050321057399583334,0.049673643559833315,0.000647413839750019,0.0003210573995833313,0.0003263564401666877,True,True,True,3,3.1,0.1,32,99.2,9.920000000000002,89.28,21,21,0.3,0.3,0,9,0.0,0.3,0.0,0.7,0,6,0.0,0.3,0.0,0.7
H2B0023,A023,anchor,0.1,0.1,0.22862510124454904,0.0983242662778283,0.09778794587232376,0.0005363204055045395,0.00167573372217171,0.0022120541276762495,True,True,True,3,3.1,0.1,32,99.2,9.920000000000002,89.28,21,21,0.3,0.3,0,9,0.0,0.3,0.0,0.7,0,6,0.0,0.3,0.0,0.7
H2B0023,A023,anchor,0.2,0.2,0.4672559750576625,0.20135464061805017,0.2006685863630403,0.0006860542550098658,0.001354640618050157,0.0006685863630402911,True,True,True,3,3.1,0.1,32,99.2,9.920000000000002,89.28,21,21,0.3,0.3,0,9,0.0,0.3,0.0,0.7,0,6,0.0,0.3,0.0,0.7
H2B0024,A024,anchor,0.05,0.05,0.14956896432464675,0.04903925661895847,0.04904372453215936,4.4679132008909606e-06,0.0009607433810415317,0.0009562754678406407,True,True,True,3,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.3,0.3,0,9,0.0,0.3,0.0,0.7,0,6,0.0,0.3,0.0,0.7
H2B0024,A024,anchor,0.1,0.1,0.2991379286492935,0.0994992200158978,0.09924753964641438,0.0002516803694834202,0.0005007799841022093,0.0007524603535856295,True,True,True,3,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.3,0.3,0,9,0.0,0.3,0.0,0.7,0,6,0.0,0.3,0.0,0.7
H2B0024,A024,anchor,0.2,0.2,0.598275857298587,0.20171085008863265,0.19929368258871652,0.002417167499916134,0.0017108500886326428,0.0007063174112834913,True,True,True,3,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.3,0.3,0,9,0.0,0.3,0.0,0.7,0,6,0.0,0.3,0.0,0.7
H2B0025,A025,anchor,0.05,0.05,0.14990062854185102,0.049355547843081236,0.04960614763065352,0.00025059978757228235,0.0006444521569187664,0.00039385236934648404,True,True,True,3,4.0,0.5,32,128.0,64.0,64.0,28,28,0.1,0.1,0,4,0.0,0.0,0.0,0.7,0,4,0.0,0.0,0.0,0.7
H2B0025,A025,anchor,0.1,0.1,0.29980125708370203,0.10108984438992304,0.09885692448966699,0.00223291990025605,0.001089844389923031,0.0011430755103330192,True,True,True,3,4.0,0.5,32,128.0,64.0,64.0,28,28,0.1,0.1,0,4,0.0,0.0,0.0,0.7,0,4,0.0,0.0,0.0,0.7
H2B0025,A025,anchor,0.2,0.2,0.5996025141674041,0.2012373574641999,0.1991547267533611,0.0020826307108388065,0.0012373574641998952,0.0008452732466389112,True,True,True,3,4.0,0.5,32,128.0,64.0,64.0,28,28,0.1,0.1,0,4,0.0,0.0,0.0,0.7,0,4,0.0,0.0,0.0,0.7
H2B0026,A026,anchor,0.05,0.05,0.10001609209831927,0.04990600917782175,0.05033406385246855,0.00042805467464680086,9.399082217825122e-05,0.00033406385246854964,True,True,True,3,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,0,12,0.0,0.0,0.0,0.7,0,12,0.0,0.0,0.0,0.7
