background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h5_steps,n_active_primary_comparisons,n_supported_primary_comparisons,n_reversed_primary_comparisons,n_strong_selection_primary_comparisons,failure_component,classification
H5B0181,S149,sobol_symmetric,4.0,0.1,64,256.0,25.6,230.4,28,28,0.0,0.0,9,9,0.3,0.3,0.3,0.5,12,12,0.3,0.3,0.7,0.7,0.0;0.1;0.3,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0184,S152,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.5,4,4,0.7,0.7,0.7,0.7,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0190,S158,sobol_symmetric,1.25,0.7,32,40.0,28.0,12.000000000000002,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.5,0.5,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0193,S161,sobol_symmetric,3.1,0.3,32,99.2,29.76,69.44,7,7,0.0,0.0,4,4,0.3,0.3,0.3,0.3,4,4,0.5,0.5,0.7,0.7,0.0;0.1;0.3,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0200,S168,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,7,7,0.0,0.0,4,4,0.1,0.1,0.1,0.5,4,4,0.0,0.0,0.7,0.7,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0206,S174,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.7,4,4,0.0,0.0,0.5,0.5,0.0;0.1;0.3;0.5,2,0,1,0.0,one_or_more_primary_comparisons_reversed,reversed
H5B0209,S177,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,21,21,0.1,0.1,4,4,0.0,0.0,0.0,0.7,9,9,0.3,0.3,0.7,0.7,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0212,S180,sobol_symmetric,4.0,0.5,16,64.0,32.0,32.0,14,14,0.0,0.0,6,6,0.5,0.5,0.5,0.7,12,12,0.7,0.7,0.7,0.7,0.0;0.1,1,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0213,S181,sobol_symmetric,4.0,0.3,16,64.0,19.2,44.8,14,14,0.0,0.0,4,4,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.5,0.5,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0220,S188,sobol_symmetric,3.1,0.9,64,198.4,178.56,19.84,7,7,0.3,0.3,4,4,0.3,0.3,0.3,0.3,4,4,0.0,0.0,0.1,0.1,0.0;0.1;0.3,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0221,S189,sobol_symmetric,4.0,0.3,64,256.0,76.8,179.2,7,7,0.3,0.3,4,4,0.0,0.0,0.0,0.7,4,4,0.5,0.5,0.5,0.5,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0222,S190;X057,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,21,21,0.0,0.0,9,9,0.1,0.1,0.1,0.5,4,4,0.0,0.0,0.1,0.1,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0224,S192,sobol_symmetric,3.1,0.7,16,49.6,34.72,14.880000000000004,28,28,0.5,0.5,4,4,0.3,0.3,0.3,0.7,12,12,0.5,0.5,0.7,0.7,0.0;0.1;0.3,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0226,S194,sobol_symmetric,1.25,0.5,16,20.0,10.0,10.0,28,28,0.0,0.0,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.0,0.0,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0227,S195,sobol_symmetric,2.0,0.1,32,64.0,6.4,57.6,7,7,0.1,0.1,4,4,0.3,0.3,0.3,0.5,4,4,0.0,0.0,0.5,0.5,0.0;0.1;0.3,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0228,S196,sobol_symmetric,4.0,0.9,16,64.0,57.6,6.399999999999999,21,21,0.5,0.5,4,4,0.1,0.1,0.1,0.5,9,9,0.5,0.5,0.5,0.5,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0229,S197,sobol_symmetric,4.0,0.3,16,64.0,19.2,44.8,21,21,0.5,0.5,6,6,0.3,0.3,0.3,0.3,4,4,0.0,0.0,0.7,0.7,0.0;0.1;0.3,1,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0233,S201,sobol_symmetric,2.0,0.1,32,64.0,6.4,57.6,7,7,0.0,0.0,4,4,0.1,0.1,0.1,0.7,4,4,0.0,0.0,0.7,0.7,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0237,S205,sobol_symmetric,4.0,0.3,64,256.0,76.8,179.2,28,28,0.1,0.1,4,4,0.5,0.5,0.5,0.7,12,12,0.3,0.3,0.5,0.5,0.0;0.1,1,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0240,S208,sobol_symmetric,3.1,0.9,16,49.6,44.64,4.959999999999999,7,7,0.0,0.0,4,4,0.1,0.1,0.1,0.3,4,4,0.5,0.5,0.5,0.5,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0243,S211,sobol_symmetric,2.0,0.3,64,128.0,38.4,89.6,21,21,0.0,0.0,6,6,0.1,0.1,0.1,0.3,12,12,0.0,0.0,0.3,0.3,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0244,S212,sobol_symmetric,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.3,0.3,4,4,0.3,0.3,0.3,0.5,4,4,0.3,0.3,0.7,0.7,0.0;0.1;0.3,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0245,S213,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,7,7,0.3,0.3,4,4,0.1,0.1,0.1,0.1,4,4,0.0,0.0,0.0,0.0,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0246,S214,sobol_symmetric,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,4,4,0.1,0.1,0.1,0.7,6,6,0.3,0.3,0.5,0.5,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0249,S217,sobol_symmetric,2.0,0.3,16,32.0,9.6,22.4,21,21,0.1,0.1,9,9,0.0,0.0,0.0,0.5,12,12,0.0,0.0,0.1,0.1,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
