class1_no_show_threshold,class1_high_no_show,mean,std,n,se,ci95,metric
6,0.6,0.7027682156817618,0.00452194801459465,50,0.0006395000210585843,0.0012534200412748252,class1_high_delay_exposure_share
6,0.7,0.7027682156817618,0.00452194801459465,50,0.0006395000210585843,0.0012534200412748252,class1_high_delay_exposure_share
6,0.8,0.7027682156817618,0.00452194801459465,50,0.0006395000210585843,0.0012534200412748252,class1_high_delay_exposure_share
6,0.9,0.7027682156817618,0.00452194801459465,50,0.0006395000210585843,0.0012534200412748252,class1_high_delay_exposure_share
9,0.0,0.5529553996835491,0.006005892564687669,50,0.0008493614719137032,0.0016647484849508583,class1_high_delay_exposure_share
9,0.1,0.5529553996835491,0.006005892564687669,50,0.0008493614719137032,0.0016647484849508583,class1_high_delay_exposure_share
9,0.2,0.5529553996835491,0.006005892564687669,50,0.0008493614719137032,0.0016647484849508583,class1_high_delay_exposure_share
9,0.3,0.5529553996835491,0.006005892564687669,50,0.0008493614719137032,0.0016647484849508583,class1_high_delay_exposure_share
9,0.4,0.5529553996835491,0.006005892564687669,50,0.0008493614719137032,0.0016647484849508583,class1_high_delay_exposure_share
9,0.5,0.5529553996835491,0.006005892564687669,50,0.0008493614719137032,0.0016647484849508583,class1_high_delay_exposure_share
9,0.6,0.5529553996835491,0.006005892564687669,50,0.0008493614719137032,0.0016647484849508583,class1_high_delay_exposure_share
9,0.7,0.5529553996835491,0.006005892564687669,50,0.0008493614719137032,0.0016647484849508583,class1_high_delay_exposure_share
9,0.8,0.5529553996835491,0.006005892564687669,50,0.0008493614719137032,0.0016647484849508583,class1_high_delay_exposure_share
9,0.9,0.5529553996835491,0.006005892564687669,50,0.0008493614719137032,0.0016647484849508583,class1_high_delay_exposure_share
12,0.0,0.005728718373132598,0.004537493363210961,50,0.0006416984653430849,0.0012577289920724464,class1_high_delay_exposure_share
12,0.1,0.005728718373132598,0.004537493363210961,50,0.0006416984653430849,0.0012577289920724464,class1_high_delay_exposure_share
12,0.2,0.005728718373132598,0.004537493363210961,50,0.0006416984653430849,0.0012577289920724464,class1_high_delay_exposure_share
12,0.3,0.005728718373132598,0.004537493363210961,50,0.0006416984653430849,0.0012577289920724464,class1_high_delay_exposure_share
12,0.4,0.005728718373132598,0.004537493363210961,50,0.0006416984653430849,0.0012577289920724464,class1_high_delay_exposure_share
12,0.5,0.005728718373132598,0.004537493363210961,50,0.0006416984653430849,0.0012577289920724464,class1_high_delay_exposure_share
12,0.6,0.005728718373132598,0.004537493363210961,50,0.0006416984653430849,0.0012577289920724464,class1_high_delay_exposure_share
12,0.7,0.005728718373132598,0.004537493363210961,50,0.0006416984653430849,0.0012577289920724464,class1_high_delay_exposure_share
12,0.8,0.005728718373132598,0.004537493363210961,50,0.0006416984653430849,0.0012577289920724464,class1_high_delay_exposure_share
12,0.9,0.005728718373132598,0.004537493363210961,50,0.0006416984653430849,0.0012577289920724464,class1_high_delay_exposure_share
3,0.0,0.0,0.0,50,0.0,0.0,class1_no_show_slot_loss
3,0.1,0.03651883561643836,0.00192458953858303,50,0.0002721780627465498,0.0005334690029832376,class1_no_show_slot_loss
3,0.2,0.0727054794520548,0.0024743365314574862,50,0.0003499240280662379,0.0006858510950098263,class1_no_show_slot_loss
3,0.3,0.10892808219178082,0.0029811365936423207,50,0.00042159638020157004,0.0008263289051950773,class1_no_show_slot_loss
3,0.4,0.14584246575342466,0.0034089466997033746,50,0.00048209786561275147,0.0009449118166009929,class1_no_show_slot_loss
3,0.5,0.18263356164383562,0.00374599189270413,50,0.0005297632539201841,0.0010383359776835607,class1_no_show_slot_loss
3,0.6,0.21914383561643835,0.003703202580623311,50,0.0005237119313732531,0.0010264753854915762,class1_no_show_slot_loss
3,0.7,0.25542123287671237,0.0039887217807410575,50,0.0005640904438856966,0.0011056172700159652,class1_no_show_slot_loss
3,0.8,0.2921558219178082,0.0040344941674824,50,0.0005705636368968759,0.0011183047283178768,class1_no_show_slot_loss
3,0.9,0.32809931506849316,0.003996798095009788,50,0.0005652326072029792,0.0011078559101178392,class1_no_show_slot_loss
6,0.0,0.0,0.0,50,0.0,0.0,class1_no_show_slot_loss
6,0.1,0.026539383561643835,0.0016784895425090995,50,0.000237374267531778,0.0004652535643622849,class1_no_show_slot_loss
6,0.2,0.05279452054794521,0.0021560971202243652,50,0.0003049181789214871,0.0005976396306861147,class1_no_show_slot_loss
6,0.3,0.0790873287671233,0.0027098490853909394,50,0.00038323053285441936,0.000751131844394662,class1_no_show_slot_loss
6,0.4,0.10597260273972603,0.003417729573424134,50,0.0004833399515260023,0.0009473463049909645,class1_no_show_slot_loss
6,0.5,0.13272260273972603,0.003455619058005929,50,0.0004886983338226923,0.0009578487342924769,class1_no_show_slot_loss
6,0.6,0.15939212328767124,0.0034356586130340617,50,0.0004858755006236707,0.0009523159812223946,class1_no_show_slot_loss
