class1_cancel_prob,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
0.0,32,1,18146,8485,6687,15172,2974,0,2177,6258,11.202592810842663,11.887753756920644,0.34486939270362615,0.5357876712328767,0.44074611125757973,95054.0,180361.0
0.0,32,2,18111,8439,6606,15045,3066,5252,700,2474,11.098471382865268,11.822266533732137,0.13660206504334382,0.21181506849315068,0.4390827517447657,93660.0,177866.0
0.0,33,1,18308,8495,6763,15258,3050,0,2159,6287,11.071218363743379,11.80855944422598,0.3434017915665283,0.5382705479452055,0.44324288897627473,94050.0,180175.0
0.0,33,2,18500,8666,6781,15447,3053,5471,642,2539,11.07465958919917,11.807664918754451,0.13724324324324325,0.21738013698630138,0.4389849161649511,95973.0,182393.0
0.0,34,1,18138,8457,6850,15307,2831,0,2257,6154,11.026959914863427,11.791271967073888,0.3392876833167935,0.5268835616438357,0.447507676226563,93255.0,180489.0
0.0,34,2,18299,8621,6761,15382,2917,5393,763,2447,11.152534508757684,11.84085294500065,0.13372315427072518,0.20950342465753424,0.43953972175269795,96146.0,182136.0
0.0,35,1,18370,8592,6669,15261,3109,0,2160,6393,11.175628491620111,11.844702182032632,0.34801306477953187,0.5473458904109589,0.43699626498918814,96021.0,180762.0
0.0,35,2,18146,8505,6599,15104,3042,5424,664,2396,11.084185773074662,11.798000529661017,0.13204011903449797,0.20513698630136987,0.4369041313559322,94271.0,178197.0
0.0,36,1,18480,8552,6746,15298,3182,0,2223,6276,11.08863423760524,11.820891619819584,0.3396103896103896,0.5373287671232877,0.4409726761668192,94830.0,180836.0
0.0,36,2,18211,8546,6623,15169,3042,5418,688,2428,11.102504095483267,11.816335948315643,0.13332601175113942,0.20787671232876712,0.43661414727404574,94882.0,179242.0
0.0,37,1,18458,8609,6586,15195,3263,0,2173,6379,11.161110465791614,11.847581441263573,0.345595405786109,0.5461472602739726,0.4334320500164528,96086.0,180024.0
0.0,37,2,18208,8314,6535,14849,3359,5240,671,2390,11.169713735867212,11.860933396188296,0.1312609841827768,0.2046232876712329,0.4400969762273554,92865.0,176123.0
0.0,38,1,18153,8602,6629,15231,2922,0,2202,6348,11.115438270169728,11.827851093165256,0.34969426541067594,0.5434931506849315,0.4352307793316263,95615.0,180150.0
0.0,38,2,18076,8440,6685,15125,2951,5346,722,2355,11.121208530805687,11.837421487603306,0.1302832485063067,0.2016267123287671,0.4419834710743802,93863.0,179041.0
0.0,39,1,18286,8419,6676,15095,3191,0,2115,6254,11.081363582373204,11.811659489897316,0.342010281089358,0.5354452054794521,0.4422656508777741,93294.0,178297.0
0.0,39,2,18251,8723,6483,15206,3045,5475,701,2532,11.112690588100424,11.806918321715113,0.13873212426716344,0.21678082191780823,0.4263448638695252,96936.0,179536.0
0.0,40,1,18300,8508,6664,15172,3128,0,2247,6212,11.18911612599906,11.871869232797257,0.3394535519125683,0.5318493150684932,0.4392301608225679,95197.0,180120.0
0.0,40,2,18350,8432,6639,15071,3279,5265,721,2437,11.102703984819735,11.825094552451729,0.13280653950953678,0.2086472602739726,0.44051489615818457,93618.0,178216.0
0.0,41,1,18167,8482,6840,15322,2845,0,2183,6247,11.069205376090546,11.805312622373059,0.3438652501788958,0.5348458904109589,0.44641691685158597,93889.0,180881.0
0.0,41,2,18202,8565,6692,15257,2945,5383,723,2444,11.190776415645066,11.869240348692404,0.13427095923524887,0.20924657534246574,0.4386183391230255,95849.0,181089.0
0.0,42,1,18136,8529,6708,15237,2899,0,2217,6256,11.156993785906906,11.852201877009911,0.34494927216585797,0.5356164383561643,0.44024414254774563,95158.0,180592.0
0.0,42,2,18092,8474,6618,15092,3000,5308,672,2481,11.180552277554874,11.861317254174397,0.13713243422507185,0.21241438356164383,0.438510469122714,94744.0,179011.0
0.0,43,1,18353,8553,6716,15269,3084,0,2168,6331,11.102303285396937,11.819503569323466,0.34495722770119325,0.5420376712328767,0.4398454384701028,94958.0,180472.0
0.0,43,2,18259,8512,6775,15287,2972,5359,699,2438,11.162946428571429,11.858899718715248,0.1335231940412947,0.20873287671232876,0.4431870216523844,95019.0,181287.0
0.0,44,1,18411,8579,6809,15388,3023,0,2185,6339,11.096398181606247,11.82174421627242,0.34430503503340393,0.5427226027397261,0.4424876527164024,95196.0,181913.0
