class1_cancel_prob,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.05,22,0.8008561643835617,0.2561089451430454,9328,10459.0,9.769558769002595,10.790132795427803,0.3955286602790385,36422,21576,35694,14118,728,9918,2290,40
0.05,23,0.8087328767123287,0.2601285198157699,9432,10514.0,9.701880994506006,10.705784471331471,0.39425219279690893,36259,21478,35457,13979,802,9773,2237,36
0.05,24,0.8045376712328767,0.25682279940695185,9354,10472.0,9.852132081640278,10.854292829248967,0.39410832531552437,36422,21411,35338,13927,1084,9726,2283,48
0.05,25,0.8096746575342466,0.25787730296476774,9420,10559.0,9.725143226760304,10.747454632148767,0.39292626146467335,36529,21644,35653,14009,876,9980,2205,39
0.05,26,0.8069349315068494,0.2593541632225712,9413,10534.0,9.744694622959916,10.757889393383909,0.3900279195690798,36294,21629,35459,13830,835,9937,2235,44
0.05,27,0.8000856164383562,0.2541606515403263,9331,10432.0,9.90919706665421,10.907840207493445,0.39643652561247217,36713,21409,35471,14062,1242,9717,2319,42
0.05,28,0.8122431506849315,0.25908593322386425,9467,10595.0,9.792733659979662,10.815161335775679,0.3903339439199662,36540,21634,35485,13851,1055,9935,2189,43
0.05,29,0.804195205479452,0.25663619944173827,9378,10481.0,9.81388348615356,10.817798278674692,0.39264217809529167,36542,21594,35554,13960,988,9901,2277,38
0.05,30,0.8083047945205479,0.25598301069999185,9402,10532.0,9.830276946107784,10.853037488708221,0.39656729900632337,36729,21376,35424,14048,1305,9716,2220,38
0.05,31,0.8023972602739726,0.25856017686886834,9356,10476.0,9.886457993189346,10.885958458316827,0.3933725734336974,36185,21437,35338,13901,847,9749,2289,43
0.05,32,0.8084760273972603,0.25948531837677336,9438,10552.0,9.84348710363317,10.841128329161627,0.39156846753100655,36372,21634,35557,13923,815,9926,2228,42
0.05,33,0.8035102739726028,0.25673264336892965,9352,10482.0,9.82722071100272,10.85014799154334,0.3989570119802678,36427,21322,35475,14153,952,9661,2271,38
