class1_low_balk,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.0,66,0.8405821917808219,0.26650021710811983,9820,10944.0,8.465754577983583,9.449305254016501,0.3553245766391663,36848,23755,36848,13093,0,12069,1838,28
0.0,67,0.8404965753424658,0.26916543372239576,9824,10959.0,8.329250138233167,9.29228998849252,0.35582771658721024,36498,23511,36498,12987,0,11808,1870,9
0.0,68,0.8381849315068494,0.2680285838970107,9827,10914.0,8.37523705170888,9.346225180013091,0.35279838533711544,36664,23729,36664,12935,0,12019,1874,9
0.0,69,0.836986301369863,0.2692857928909431,9788,10888.0,8.30839811392889,9.264856388246946,0.3523440079234071,36348,23541,36348,12807,0,11828,1911,14
0.0,70,0.8345890410958904,0.2671759905802459,9757,10882.0,8.260444254592056,9.220241518113859,0.3589638270489334,36519,23410,36519,13109,0,11723,1910,20
0.0,71,0.8434931506849315,0.2733514956076949,9833,10966.0,8.2935519876363,9.245107305682197,0.35244078727899475,35972,23294,35972,12678,0,11627,1823,11
0.0,72,0.8414383561643836,0.2658296352419093,9824,10962.0,8.418411811989678,9.39725619655807,0.3604015586102392,36956,23637,36956,13319,0,11958,1839,16
0.0,73,0.845291095890411,0.2709255339619011,9856,10989.0,8.193516699410608,9.150279007119492,0.3563869265235438,36379,23414,36379,12965,0,11733,1807,18
0.0,74,0.84375,0.2694668200997315,9835,10978.0,8.281859006947975,9.243958573072497,0.3532796317606444,36498,23604,36498,12894,0,11922,1833,14
0.0,75,0.8417808219178082,0.26756153343498146,9827,10965.0,8.482754279959718,9.455401873230233,0.3511217599651492,36728,23832,36728,12896,0,12168,1826,11
0.0,76,0.8393835616438357,0.26709360948358085,9801,10955.0,8.496641759717908,9.472462188309034,0.35081073715765093,36695,23822,36695,12873,0,12137,1871,13
0.0,77,0.8410102739726028,0.26800010929857637,9808,10967.0,8.352461799660441,9.321064568134,0.3562313850862093,36597,23560,36597,13037,0,11880,1851,21
0.0,78,0.8401541095890411,0.2674386920980926,9815,10953.0,8.398652631578948,9.36408719346049,0.3528610354223433,36700,23750,36700,12950,0,12054,1865,16
0.0,79,0.8387842465753425,0.2661483253588517,9790,10926.0,8.360218699669408,9.339821661591996,0.3585798173118747,36784,23594,36784,13190,0,11913,1878,13
0.0,80,0.841181506849315,0.2692919868276619,9813,10938.0,8.406961405897622,9.364983534577387,0.3550768386388584,36440,23501,36440,12939,0,11806,1874,8
0.0,81,0.842722602739726,0.27230475558137607,9843,10961.0,8.311279872999528,9.26994798583444,0.35516268260292166,36147,23307,36144,12837,3,11640,1822,2
0.0,82,0.8417808219178082,0.2712504826521044,9835,10971.0,8.213627598028712,9.15588283964918,0.3564178939820178,36258,23335,36258,12923,0,11634,1851,15
0.0,83,0.8414383561643836,0.2699400011008972,9808,10949.0,8.322682210781602,9.28218748279848,0.353140309352122,36334,23503,36334,12831,0,11836,1845,14
0.0,84,0.8460616438356164,0.2706469845799265,9864,11009.0,8.392929634641407,9.34857048784503,0.3511496460516929,36446,23648,36446,12798,0,11982,1801,1
0.0,85,0.8376712328767123,0.2691312486236512,9777,10933.0,8.27933293627159,9.21963774499009,0.35295089187403655,36328,23506,36328,12822,0,11852,1867,10
0.0,86,0.8396404109589041,0.269239219994507,9803,10925.0,8.3607708014293,9.316781104092282,0.3543531996704202,36410,23508,36410,12902,0,11822,1866,17
0.0,87,0.8434075342465753,0.268591426071741,9824,10968.0,8.39400219947551,9.354904855643044,0.3536198600174978,36576,23642,36576,12934,0,11977,1839,2
0.0,88,0.8386130136986302,0.2681347504166553,9814,10924.0,8.239524252941674,9.203764924455616,0.35449851096964563,36601,23626,36601,12975,0,11914,1875,23
0.0,89,0.8351027397260274,0.27009200753796697,9746,10868.0,8.240403606698154,9.173844363152643,0.35456157853896464,36084,23290,36084,12794,0,11621,1921,2
0.0,90,0.8384417808219178,0.26890017849787173,9792,10906.0,8.413075081238242,9.380667307428258,0.3577371962103529,36415,23388,36415,13027,0,11711,1871,14
0.0,91,0.8407534246575342,0.2681685051870911,9797,10957.0,8.349879088710704,9.309747351709413,0.3548025073221471,36533,23571,36533,12962,0,11906,1859,9
0.0,92,0.8402397260273973,0.2669791780224572,9796,10947.0,8.44774296782887,9.414940586503871,0.35277444674588465,36692,23748,36692,12944,0,12071,1869,12
