h1,h2,tau1,tau2,balk_high,class_id,mean,std,n,se,ci95,metric
2,14,12,12,0.5,1,0.03177009781597184,0.001358725862806527,50,0.00019215285427280756,0.0003766195943747028,percent_serviced
2,14,12,12,0.5,2,0.5258437137107269,0.009580915038773528,50,0.001354945998777787,0.0026556941576044626,percent_serviced
2,14,12,12,0.7,1,0.03177009781597184,0.001358725862806527,50,0.00019215285427280756,0.0003766195943747028,percent_serviced
2,14,12,12,0.7,2,0.5258437137107269,0.009580915038773528,50,0.001354945998777787,0.0026556941576044626,percent_serviced
5,2,5,9,0.3,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,5,9,0.3,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,2,5,9,0.5,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,5,9,0.5,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,2,5,9,0.7,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,5,9,0.7,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,2,5,12,0.3,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,5,12,0.3,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,2,5,12,0.5,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,5,12,0.5,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,2,5,12,0.7,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,5,12,0.7,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,2,9,5,0.3,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,9,5,0.3,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,2,9,5,0.5,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,9,5,0.5,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,2,9,5,0.7,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,9,5,0.7,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,2,9,9,0.3,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,9,9,0.3,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,2,9,9,0.5,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,9,9,0.5,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,2,9,9,0.7,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,9,9,0.7,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,2,12,12,0.3,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,12,12,0.3,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,2,12,12,0.5,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,12,12,0.5,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,2,12,12,0.7,1,0.6090575203283586,0.0037139586771265855,50,0.0005252330731285655,0.0010294568233319885,percent_serviced
5,2,12,12,0.7,2,0.03179254130351596,0.0011954726958357273,50,0.00016906536998976114,0.0003313681251799318,percent_serviced
5,5,5,9,0.3,1,0.3203805584225507,0.002825761250166419,50,0.00039962298840137017,0.0007832610572666855,percent_serviced
5,5,5,9,0.3,2,0.32017121915610014,0.0030540821268203277,50,0.0004319124364350574,0.0008465483754127126,percent_serviced
5,5,5,9,0.5,1,0.3203805584225507,0.002825761250166419,50,0.00039962298840137017,0.0007832610572666855,percent_serviced
5,5,5,9,0.5,2,0.32017121915610014,0.0030540821268203277,50,0.0004319124364350574,0.0008465483754127126,percent_serviced
5,5,5,9,0.7,1,0.3203805584225507,0.002825761250166419,50,0.00039962298840137017,0.0007832610572666855,percent_serviced
