h1,h2,tau1,tau2,balk_high,class_id,mean,std,n,se,ci95
2,7,12,12,0.7,1,0.9680439809638819,0.0012942216343719197,50,0.00018303057880454418,0.0003587399344569066
2,7,12,12,0.7,2,0.07977251686316239,0.007627317575420897,50,0.0010786655959686905,0.0021141845680986335
2,10,5,9,0.3,1,0.9682471965385575,0.0013529442043968614,50,0.00019133520429921182,0.00037501700042645515
2,10,5,9,0.3,2,4.8290073182568844e-05,0.0001365953677912016,50,1.931750216876583e-05,3.786230425078103e-05
2,10,5,9,0.5,1,0.9682471965385575,0.0013529442043968614,50,0.00019133520429921182,0.00037501700042645515
2,10,5,9,0.5,2,4.8290073182568844e-05,0.0001365953677912016,50,1.931750216876583e-05,3.786230425078103e-05
2,10,5,9,0.7,1,0.9682471965385575,0.0013529442043968614,50,0.00019133520429921182,0.00037501700042645515
2,10,5,9,0.7,2,4.8290073182568844e-05,0.0001365953677912016,50,1.931750216876583e-05,3.786230425078103e-05
2,10,5,12,0.3,1,0.9682471965385575,0.0013529442043968614,50,0.00019133520429921182,0.00037501700042645515
2,10,5,12,0.3,2,4.8290073182568844e-05,0.0001365953677912016,50,1.931750216876583e-05,3.786230425078103e-05
2,10,5,12,0.5,1,0.9682471965385575,0.0013529442043968614,50,0.00019133520429921182,0.00037501700042645515
2,10,5,12,0.5,2,4.8290073182568844e-05,0.0001365953677912016,50,1.931750216876583e-05,3.786230425078103e-05
2,10,5,12,0.7,1,0.9682471965385575,0.0013529442043968614,50,0.00019133520429921182,0.00037501700042645515
2,10,5,12,0.7,2,4.8290073182568844e-05,0.0001365953677912016,50,1.931750216876583e-05,3.786230425078103e-05
2,10,9,5,0.3,1,0.9678859286128432,0.0013442941467830124,50,0.00019011190141993042,0.00037261932678306364
2,10,9,5,0.3,2,0.0,0.0,50,0.0,0.0
2,10,9,5,0.5,1,0.967838744741767,0.0012048915707278676,50,0.00017039740005123715,0.0003339789041004248
2,10,9,5,0.5,2,0.0,0.0,50,0.0,0.0
2,10,9,5,0.7,1,0.9679589115604912,0.0012898783066257098,50,0.00018241633950409205,0.0003575360254280204
2,10,9,5,0.7,2,0.0,0.0,50,0.0,0.0
2,10,9,9,0.3,1,0.9682471965385575,0.0013529442043968614,50,0.00019133520429921182,0.00037501700042645515
2,10,9,9,0.3,2,4.8290073182568844e-05,0.0001365953677912016,50,1.931750216876583e-05,3.786230425078103e-05
2,10,9,9,0.5,1,0.9682471965385575,0.0013529442043968614,50,0.00019133520429921182,0.00037501700042645515
2,10,9,9,0.5,2,4.8290073182568844e-05,0.0001365953677912016,50,1.931750216876583e-05,3.786230425078103e-05
2,10,9,9,0.7,1,0.9682471965385575,0.0013529442043968614,50,0.00019133520429921182,0.00037501700042645515
2,10,9,9,0.7,2,4.8290073182568844e-05,0.0001365953677912016,50,1.931750216876583e-05,3.786230425078103e-05
2,10,12,12,0.3,1,0.9682471965385575,0.0013529442043968614,50,0.00019133520429921182,0.00037501700042645515
2,10,12,12,0.3,2,4.8290073182568844e-05,0.0001365953677912016,50,1.931750216876583e-05,3.786230425078103e-05
2,10,12,12,0.5,1,0.9682471965385575,0.0013529442043968614,50,0.00019133520429921182,0.00037501700042645515
2,10,12,12,0.5,2,4.8290073182568844e-05,0.0001365953677912016,50,1.931750216876583e-05,3.786230425078103e-05
2,10,12,12,0.7,1,0.9682471965385575,0.0013529442043968614,50,0.00019133520429921182,0.00037501700042645515
