selection_objective,comparison,factor,contrast,fixed_other_level,effect_average_utilization,effect_priority_weighted_utilization,effect_class_1_percent_serviced,effect_class_2_percent_serviced,effect_class_1_slot_utilization,effect_class_2_slot_utilization,n_rows
priority_weighted_utilization,horizon_only_vs_baseline,balking,low_to_medium,high,-0.00017799086757992706,0.0006871993911719936,0.0016450796129012122,-0.0015278679017303675,0.001569132420091324,-0.0017638660578386616,60
priority_weighted_utilization,horizon_only_vs_baseline,balking,medium_to_high,low,-8.861491628616806e-05,0.0008242617960426207,0.0017212176898223186,-0.0020521537792620803,0.0016669406392694046,-0.0016853576864535786,60
priority_weighted_utilization,horizon_only_vs_baseline,balking,medium_to_high,medium,-0.0002345814307458207,0.0006674124809741233,0.0015293549240935798,-0.0019753961515765906,0.0015099543378995419,-0.0016850837138508384,60
priority_weighted_utilization,horizon_only_vs_baseline,balking,medium_to_high,high,-0.0004789954337899479,0.000412922374429223,0.0013043057761676171,-0.0019753961515765906,0.0012554642313546444,-0.0016850837138508384,60
priority_weighted_utilization,horizon_only_vs_baseline,balking,low_to_high,low,-1.6986301369869753e-05,0.0017434246575342477,0.0036939196999267714,-0.003560279829449586,0.003478721461187217,-0.0034705936073059383,60
priority_weighted_utilization,horizon_only_vs_baseline,balking,low_to_high,medium,-0.00029235920852358545,0.0014629528158295292,0.0033157561099412844,-0.003503264053306958,0.003187427701674276,-0.0034489497716895,60
priority_weighted_utilization,horizon_only_vs_baseline,balking,low_to_high,high,-0.0006569863013698749,0.0011001217656012164,0.0029493853890688294,-0.003503264053306958,0.0028245966514459683,-0.0034489497716895,60
priority_weighted_utilization,horizon_only_vs_baseline,interaction,NS_low_to_medium__x__BK_low_to_medium,,-0.00012940639269406307,-0.00012362252663622138,-0.00018630082425674822,-1.9741851542861658e-05,-0.00013430745814307785,2.136986301369853e-05,60
priority_weighted_utilization,horizon_only_vs_baseline,interaction,NS_low_to_medium__x__BK_medium_to_high,,-0.00014596651445965264,-0.00015684931506849742,-0.00019186276572873872,7.675762768548959e-05,-0.00015698630136986287,2.739726027400898e-07,60
priority_weighted_utilization,horizon_only_vs_baseline,interaction,NS_low_to_medium__x__BK_low_to_high,,-0.00027537290715371566,-0.0002804718417047188,-0.0003781635899854869,5.701577614262793e-05,-0.00029129375951294074,2.1643835616438622e-05,60
priority_weighted_utilization,horizon_only_vs_baseline,interaction,NS_medium_to_high__x__BK_low_to_medium,,-0.00012021308980216232,-0.00010834094368341225,-0.00014132157294649239,0.0,-0.00010834094368341037,0.0,60
