selection_objective,comparison,noshow_level,balk_level,rho,delta_average_utilization,delta_priority_weighted_utilization,delta_class_1_percent_serviced,delta_class_2_percent_serviced,delta_class_1_slot_utilization,delta_class_2_slot_utilization,n_rows
average_utilization,reservation_only_vs_baseline,low,low,3.0,6.246575342469529e-05,0.03623479452054794,0.09196564686576778,-0.05038611183420864,0.07246776255707763,-0.07246593607305936,100
average_utilization,both_flexible_vs_baseline,low,low,3.0,-1.187214611874432e-05,0.06369333333333334,0.12267230105759469,-0.08448978194511424,0.12736730593607307,-0.12734794520547946,100
average_utilization,both_flexible_vs_horizon_only,low,low,3.0,-0.00013187214611872,0.0630006392694064,0.1218548631717816,-0.08303478633570283,0.12605881278538814,-0.12611634703196348,100
average_utilization,both_flexible_vs_reservation_only,low,low,3.0,-7.433789954343962e-05,0.0274585388127854,0.030706654191826915,-0.0341036701109056,0.05489954337899543,-0.054882009132420084,100
average_utilization,reservation_only_vs_horizon_only,low,low,3.0,-5.753424657528039e-05,0.035542100456621,0.09114820897995468,-0.04893111622479723,0.07115926940639271,-0.07123433789954339,100
priority_weighted_utilization,horizon_only_vs_baseline,low,low,3.0,8.255707762551356e-05,0.0008470319634703183,0.0013944962180024983,-0.002266491102383825,0.0015788127853881204,-0.0014635616438356102,100
priority_weighted_utilization,reservation_only_vs_baseline,low,low,3.0,-0.0002801826484016945,0.12002584474885845,0.25355316053035115,-0.1992682490915256,0.24039945205479452,-0.24074721461187218,100
priority_weighted_utilization,both_flexible_vs_baseline,low,low,3.0,-0.00023872146118712468,0.12141689497716895,0.2563943058067478,-0.2014731506586486,0.24308383561643837,-0.2433338812785388,100
priority_weighted_utilization,both_flexible_vs_horizon_only,low,low,3.0,-0.00032127853881263826,0.12056986301369862,0.25499980958874535,-0.19920665955626476,0.24150502283105024,-0.2418703196347032,100
priority_weighted_utilization,both_flexible_vs_reservation_only,low,low,3.0,4.146118721456982e-05,0.0013910502283104875,0.002841145276396639,-0.0022049015671229797,0.002684383561643835,-0.0025866666666666573,100
priority_weighted_utilization,reservation_only_vs_horizon_only,low,low,3.0,-0.0003627397260272081,0.11917881278538812,0.2521586643123487,-0.19700175798914177,0.23882063926940642,-0.23928365296803655,100
average_utilization,horizon_only_vs_baseline,low,medium,1.2,-2.684931506854449e-05,-9.214611872145673e-05,-0.0003432314499204414,0.0010698868739671696,-5.570776255708121e-05,-7.287671232877103e-05,100
average_utilization,reservation_only_vs_baseline,low,medium,1.2,-0.000172602739726051,0.004587579908675794,0.02345090006424506,-0.0392409607999204,0.009375159817351592,-0.009575159817351598,100
average_utilization,both_flexible_vs_baseline,low,medium,1.2,-0.0001923287671232521,0.004997990867579904,0.019764139609384328,-0.03896864439861751,0.010331324200913239,-0.010666666666666668,100
average_utilization,both_flexible_vs_horizon_only,low,medium,1.2,-0.0001654794520547076,0.00509013698630136,0.020107371059304772,-0.04003853127258468,0.010387031963470319,-0.010593789954337898,100
average_utilization,both_flexible_vs_reservation_only,low,medium,1.2,-1.9726027397201085e-05,0.0004104109589041094,-0.00368676045486073,0.00027231640130288116,0.0009561643835616462,-0.0010915068493150709,100
average_utilization,reservation_only_vs_horizon_only,low,medium,1.2,-0.00014575342465750652,0.004679726027397251,0.023794131514165498,-0.04031084767388757,0.009430867579908674,-0.009502283105022826,100
priority_weighted_utilization,horizon_only_vs_baseline,low,medium,1.2,1.8082191780767198e-05,-5.1689497716890244e-05,-0.0007769686501388783,-2.6606964514785945e-06,-8.63926940639287e-05,6.940639269405912e-05,100
priority_weighted_utilization,reservation_only_vs_baseline,low,medium,1.2,-0.003286940639269421,0.013785388127853881,0.05902165223751089,-0.10667119740729517,0.030826118721461186,-0.03408146118721462,100
priority_weighted_utilization,both_flexible_vs_baseline,low,medium,1.2,-0.002994885844748889,0.013843105022831051,0.05725261840402302,-0.10754104745875992,0.03060456621004566,-0.03352292237442923,100
priority_weighted_utilization,both_flexible_vs_horizon_only,low,medium,1.2,-0.0030129680365296565,0.01389479452054794,0.0580295870541619,-0.10753838676230844,0.030690958904109597,-0.033592328767123286,100
priority_weighted_utilization,both_flexible_vs_reservation_only,low,medium,1.2,0.0002920547945205321,5.77168949771667e-05,-0.0017690338334878696,-0.0008698500514647417,-0.00022155251141552145,0.0005585388127853897,100
