class1_high_balk,seed,average_utilization,overall_percent_serviced,total_served,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked
0.1,15,0.8357020547945205,0.26509436531495956,9734,9.425460766778132,10.052409470319919,0.20197350048096316,36719,25718,32227,6509
0.1,16,0.8353595890410959,0.26508950010914645,9715,9.462338678138444,10.07199223398259,0.19928602743157764,36648,25570,31934,6364
0.1,17,0.8418664383561644,0.26828400098573424,9798,9.400418069910579,10.020000619214217,0.2001919564073191,36521,25833,32299,6466
0.1,18,0.8421232876712329,0.26847492883731117,9809,9.425125822686798,10.049146947212538,0.20309752259895722,36536,25830,32413,6583
0.1,19,0.8418664383561644,0.26590082016185973,9791,9.433196960841613,10.049402365571263,0.19904503323658834,36822,25665,32043,6378
0.1,20,0.8412671232876713,0.2685672034176799,9807,9.465092603469204,10.08720676995831,0.20543214485719619,36516,25539,32142,6603
0.1,21,0.8417808219178082,0.2664034848897359,9785,9.415608197615523,10.035123773937412,0.20080959053401837,36730,25666,32115,6449
0.1,22,0.8408390410958904,0.26853938760925733,9770,9.396512804545809,10.026755748912368,0.20155376009944065,36382,25694,32180,6486
0.1,23,0.842208904109589,0.26981677917068464,9793,9.406452614823156,10.028383534447995,0.2010112603530105,36295,25757,32237,6480
0.1,24,0.8363869863013699,0.2671390271926465,9765,9.440593671679197,10.069035248732227,0.20555019755467754,36554,25536,32143,6607
0.1,25,0.8416095890410958,0.26821137767091097,9816,9.432393656210012,10.050691387114776,0.2004402554721895,36598,25789,32254,6465
0.1,26,0.8389554794520548,0.2665432670060157,9792,9.430546360839596,10.04953608568404,0.2004794819104552,36737,25679,32118,6439
0.1,27,0.8353595890410959,0.2652094618504505,9743,9.445031712473574,10.061111631830537,0.20198706532945918,36737,25542,32007,6465
0.1,28,0.8361301369863013,0.2675668986001485,9729,9.443825042881647,10.067874005964216,0.20315606361829025,36361,25652,32192,6540
0.1,29,0.8380993150684931,0.26557439512288056,9758,9.441359707187914,10.074075219596685,0.2056785846839045,36743,25682,32332,6650
0.1,30,0.8430650684931507,0.2690750970847235,9839,9.451228563615766,10.076514115159807,0.20411018530033578,36566,25599,32164,6565
0.1,31,0.8388698630136986,0.2659661127403063,9795,9.445371240601503,10.064965997054122,0.19972421573850638,36828,25536,31909,6373
0.1,32,0.8428082191780822,0.26972980386778217,9833,9.438923802042419,10.062235725248222,0.20255583048830145,36455,25460,31927,6467
0.1,33,0.8407534246575342,0.2671578660117342,9790,9.456353547983746,10.070433968154855,0.20099906337808304,36645,25592,32030,6438
0.1,34,0.8488013698630137,0.26844379228825305,9879,9.42689417658109,10.047125,0.2015,36801,25552,32000,6448
0.1,35,0.8434075342465753,0.2697563384919328,9831,9.429449293514423,10.055109500452998,0.20181823862038803,36444,25549,32009,6460
0.1,36,0.839041095890411,0.26508568179972386,9792,9.43535263949408,10.058530014999848,0.20614075366577891,36939,25933,32667,6734
0.1,37,0.8388698630136986,0.2682633091556042,9801,9.426911076443059,10.037388148426256,0.19779738439396782,36535,25640,31962,6322
0.1,38,0.8445205479452055,0.27100308302136095,9845,9.433121515730381,10.05831728080532,0.20303858820605233,36328,25651,32186,6535
0.1,39,0.844777397260274,0.2711644948896664,9843,9.414994555918494,10.033888819798532,0.20047257803755753,36299,25716,32164,6448
0.1,40,0.8389554794520548,0.26489439381236984,9795,9.442074363992171,10.054755043227665,0.199661696529257,36977,25550,31924,6374
0.1,41,0.8485445205479452,0.2709194993015421,9891,9.409432354991095,10.040348930398865,0.2039331730472844,36509,25826,32442,6616
0.1,42,0.8440924657534247,0.26870274843745734,9845,9.42154913655323,10.018761372905816,0.19517475058041037,36639,25653,31874,6221
0.1,43,0.8404109589041096,0.26792442527166493,9813,9.4177648202138,10.037347750434998,0.20068978374347501,36626,25725,32184,6459
0.1,44,0.836472602739726,0.26678915183590646,9729,9.412938613553257,10.061046153846155,0.20904615384615385,36467,25706,32500,6794
0.1,45,0.8421232876712329,0.26805108333788136,9823,9.455663582054585,10.070389181441437,0.20197550867790484,36646,25611,32093,6482
0.1,46,0.8456335616438356,0.2711286954610397,9868,9.42251166407465,10.035851113533717,0.19887867933343717,36396,25720,32105,6385
0.1,47,0.8413527397260274,0.27095812515527096,9816,9.389639287945034,10.02067030397506,0.20137178487918939,36227,25616,32075,6459
0.1,48,0.8385273972602739,0.2646795827123696,9768,9.455688786470336,10.07563339462121,0.2021253389011811,36905,25603,32089,6486
0.1,49,0.844777397260274,0.26786881673567225,9834,9.421487282878411,10.052127725279476,0.20350812179605954,36712,25792,32382,6590
0.1,50,0.8405821917808219,0.26750914351220045,9801,9.427163667523565,10.057644499689248,0.2021752641392169,36638,25674,32180,6506
