background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h7_gaps,n_active_gaps,failure_component,classification,n_supported_gap_comparisons,n_reversed_gap_comparisons,n_inconclusive_gap_comparisons,n_complete_paired_seeds,average_pre_minus_post_absolute_served_gap,average_pre_minus_post_absolute_served_gap_ci_low,average_pre_minus_post_absolute_served_gap_ci_high
H7B0064,S032,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,reversed,0.0,3.0,0.0,20.0,-0.07879706369931767,-0.08120307266094064,-0.07639105473769471
H7B0065,S033,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.5,0.5,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0066,S034;X081,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,21,21,0.1,0.1,9,9,0.5,0.5,0.5,0.5,12,12,0.0,0.0,0.5,0.5,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0067,S035,sobol_symmetric,1.25,0.3,32,40.0,12.0,28.0,14,14,0.0,0.0,12,12,0.0,0.0,0.5,0.5,9,9,0.0,0.0,0.0,0.0,0.05;0.10;0.20;0.30;0.50,5,,supported,5.0,0.0,0.0,20.0,0.06624756132579371,0.06332820723339086,0.06916691541819656
H7B0068,S036,sobol_symmetric,4.0,0.7,32,128.0,89.6,38.400000000000006,28,28,0.3,0.3,4,4,0.1,0.1,0.5,0.5,4,4,0.3,0.3,0.5,0.5,0.05;0.10;0.20;0.30,4,,supported,4.0,0.0,0.0,20.0,0.015981970698889222,0.014881354010859098,0.017082587386919347
H7B0069,S037,sobol_symmetric,3.1,0.5,16,49.6,24.8,24.8,28,28,0.3,0.3,6,6,0.1,0.1,0.1,0.1,9,9,0.0,0.0,0.3,0.3,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0070,S038,sobol_symmetric,1.25,0.5,64,80.0,40.0,40.0,14,14,0.0,0.0,9,9,0.3,0.3,0.3,0.3,4,4,0.3,0.3,0.7,0.7,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0071,S039,sobol_symmetric,0.8,0.1,16,12.8,1.2800000000000002,11.52,21,21,0.1,0.1,12,12,0.0,0.0,0.3,0.3,6,6,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0072,S040,sobol_symmetric,2.0,0.9,32,64.0,57.6,6.399999999999999,7,7,0.5,0.5,4,4,0.5,0.5,0.7,0.7,4,4,0.0,0.0,0.7,0.7,0.05;0.10;0.20,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0073,S041,sobol_symmetric,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,4,4,0.1,0.1,0.3,0.3,9,9,0.0,0.0,0.1,0.1,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,reversed,0.0,2.0,1.0,20.0,-0.013807141597280404,-0.01764200169294631,-0.0099722815016145
H7B0074,S042,sobol_symmetric,0.8,0.7,64,51.2,35.84,15.360000000000005,28,28,0.5,0.5,12,12,0.3,0.3,0.5,0.5,4,4,0.5,0.5,0.5,0.5,0.05;0.10;0.20,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0075,S043,sobol_symmetric,1.25,0.3,16,20.0,6.0,14.0,7,7,0.3,0.3,4,4,0.0,0.0,0.5,0.5,4,4,0.5,0.5,0.7,0.7,0.05;0.10;0.20;0.30;0.50,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0076,S044,sobol_symmetric,4.0,0.7,64,256.0,179.2,76.80000000000001,21,21,0.0,0.0,6,6,0.7,0.7,0.7,0.7,12,12,0.3,0.3,0.3,0.3,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0077,S045,sobol_symmetric,4.0,0.1,32,128.0,12.8,115.2,21,21,0.0,0.0,4,4,0.0,0.0,0.1,0.1,6,6,0.5,0.5,0.7,0.7,0.05;0.10,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0078,S046,sobol_symmetric,2.0,0.9,32,64.0,57.6,6.399999999999999,7,7,0.3,0.3,4,4,0.5,0.5,0.5,0.5,4,4,0.0,0.0,0.5,0.5,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0079,S047,sobol_symmetric,0.8,0.5,64,51.2,25.6,25.6,28,28,0.5,0.5,9,9,0.0,0.0,0.7,0.7,9,9,0.0,0.0,0.1,0.1,0.05;0.10;0.20;0.30;0.50,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0080,S048,sobol_symmetric,3.1,0.5,16,49.6,24.8,24.8,14,14,0.1,0.1,6,6,0.1,0.1,0.7,0.7,4,4,0.3,0.3,0.3,0.3,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_inconclusive,inconclusive,1.0,3.0,1.0,20.0,-0.0010096543067487352,-0.0024624783398363836,0.0004431697263389135
H7B0081,S049;X010,sobol_symmetric,3.1,0.5,64,198.4,99.2,99.2,21,21,0.3,0.3,12,12,0.3,0.3,0.7,0.7,9,9,0.3,0.3,0.7,0.7,0.05;0.10;0.20;0.30,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0082,S050,sobol_symmetric,0.8,0.5,32,25.6,12.8,12.8,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.1,0.1,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0083,S051,sobol_symmetric,2.0,0.1,64,128.0,12.8,115.2,28,28,0.1,0.1,6,6,0.1,0.1,0.7,0.7,6,6,0.0,0.0,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,,supported,5.0,0.0,0.0,20.0,0.17480548071334984,0.172864821699731,0.17674613972696868
H7B0084,S052,sobol_symmetric,4.0,0.9,16,64.0,57.6,6.399999999999999,14,14,0.5,0.5,9,9,0.0,0.0,0.7,0.7,12,12,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30;0.50,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
