background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1,cancel_class2,n_supported_targets,n_reversed_targets,n_inconclusive_targets,n_inactive_targets,n_loss_matched_targets,failure_component,classification
H2B0222,S190;X057,sobol_symmetric,2.0,0.7,16,21,21,0.0,0.0,3,0,0,0,3,,supported
H2B0223,S191;X033,sobol_symmetric,1.25,0.3,64,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0224,S192;X066,sobol_symmetric,3.1,0.7,16,28,28,0.5,0.5,2,0,1,0,3,balk_served,supported
H2B0225,S193,sobol_symmetric,3.1,0.5,64,14,14,0.3,0.3,3,0,0,0,3,,supported
H2B0226,S194,sobol_symmetric,1.25,0.5,16,28,28,0.0,0.0,2,0,1,0,2,loss_matching_failed,supported
H2B0227,S195,sobol_symmetric,2.0,0.1,32,7,7,0.1,0.1,3,0,0,0,3,,supported
H2B0228,S196,sobol_symmetric,4.0,0.9,16,21,21,0.5,0.5,1,0,2,0,3,balk_served,inconclusive
H2B0229,S197,sobol_symmetric,4.0,0.3,16,21,21,0.5,0.5,3,0,0,0,3,,supported
H2B0230,S198,sobol_symmetric,1.25,0.9,64,7,7,0.1,0.1,2,0,1,0,3,balk_served,supported
H2B0231,S199,sobol_symmetric,0.8,0.3,32,28,28,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0232,S200,sobol_symmetric,3.1,0.7,32,14,14,0.3,0.3,3,0,0,0,3,,supported
H2B0233,S201,sobol_symmetric,2.0,0.1,32,7,7,0.0,0.0,3,0,0,0,3,,supported
