background_id,source_scenario_ids,scenario_type,rho,demand_regime,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class2_background,n_paired_seeds,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,class1_served_component,delta_class2_served_rate,delta_class2_served_rate_ci_low,delta_class2_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,offered_delay_component,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,class1_served_monotonic_fraction,offered_delay_monotonic_fraction,classification
H1B0174,S142,sobol_symmetric,2.0,boundary,0.9,64,21,21,0.1,20,0.1707489930621152,0.16893827923661536,0.17255970688761502,reversed,0.38632729788032244,0.3825611359925676,0.3900934597680773,-7.6239399601525175,-7.633919467477507,-7.613960452827528,supported,0.3852333047945206,0.38304434511469987,0.38742226447434136,0.0,1.0,reversed
H1B0175,S143,sobol_symmetric,0.8,low,0.5,16,14,14,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0178,S146,sobol_symmetric,0.8,low,0.5,64,21,21,0.5,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0179,S147,sobol_symmetric,2.0,boundary,0.1,32,14,14,0.3,20,-0.2055758894558633,-0.21056747484551008,-0.20058430406621652,supported,0.024345943704856578,0.021986594147440457,0.026705293262272698,-0.21301542378692884,-0.2281864430404743,-0.19784440453338337,inconclusive,0.0008090753424657537,-0.0024322730370536826,0.0040504237219851896,1.0,0.85,inconclusive
H1B0181,S149,sobol_symmetric,4.0,high,0.1,64,28,28,0.0,20,-0.07093068167834977,-0.07216293160497336,-0.06969843175172619,supported,0.007724297009313279,0.007202140168397181,0.008246453850229377,-0.2253046477514898,-0.22768306584429948,-0.22292622965868014,inconclusive,-0.0013998287671232873,-0.003473638067666447,0.0006739805334198723,1.0,0.0,inconclusive
H1B0183,S151,sobol_symmetric,0.8,low,0.3,64,21,21,0.5,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0185,S153,sobol_symmetric,2.0,boundary,0.1,64,14,14,0.5,20,-0.13864631356159152,-0.14329432288147717,-0.13399830424170586,supported,0.015256966745637637,0.014169711787784096,0.016344221703491178,-0.06747483537150523,-0.07206569728157389,-0.06288397346143657,inconclusive,-0.00046874999999999554,-0.001675673406650791,0.0007381734066508001,1.0,0.65,inconclusive
H1B0186,S154,sobol_symmetric,0.8,low,0.9,32,28,28,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0187,S155,sobol_symmetric,1.25,low,0.5,64,7,7,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0191,S159,sobol_symmetric,0.8,low,0.3,16,28,28,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0195,S163,sobol_symmetric,2.0,boundary,0.3,64,14,14,0.5,20,-0.005045246950748211,-0.007506550481057106,-0.0025839434204393153,supported,-0.0009398447932232629,-0.00261422002441381,0.0007345304379672843,-0.015460742394021117,-0.068532360965364,0.037610876177321756,inconclusive,-0.00128638698630138,-0.0027325169637253885,0.00015974299112262846,0.2,0.0,inconclusive
H1B0197,S165,sobol_symmetric,3.1,high,0.1,16,28,28,0.1,20,-0.00015646204398371,-0.0044998804191378056,0.004186956331170385,inconclusive,0.0006343973045584483,-0.00013827501687085333,0.0014070696259877499,-0.009218767253826676,-0.03133869063306435,0.012901156125411,inconclusive,0.0024143835616438126,-0.0010469201875124398,0.0058756873108000655,0.45,0.4,inconclusive
H1B0198,S166,sobol_symmetric,1.25,low,0.9,32,14,14,0.5,20,0.2731525776467977,0.26985311623046765,0.2764520390631277,reversed,0.5456209592572773,0.538045142469048,0.5531967760455065,-4.631450994606992,-4.6525124763189405,-4.610389512895044,supported,0.37624571917808225,0.37349239425998493,0.37899904409617957,0.0,1.0,reversed
H1B0199,S167,sobol_symmetric,0.8,low,0.5,16,21,21,0.3,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
